"","female","black","age","edu","state","N"
"1",0,0,1,1,1,66177
"2",0,1,1,1,1,32465
"3",1,0,1,1,1,59778
"4",1,1,1,1,1,27416
"5",0,0,2,1,1,83032
"6",0,1,2,1,1,30201
"7",1,0,2,1,1,50956
"8",1,1,2,1,1,30975
"9",0,0,3,1,1,91537
"10",0,1,3,1,1,36066
"11",1,0,3,1,1,105241
"12",1,1,3,1,1,45635
"13",0,0,4,1,1,89976
"14",0,1,4,1,1,34121
"15",1,0,4,1,1,142172
"16",1,1,4,1,1,55007
"17",0,0,1,2,1,80972
"18",0,1,1,2,1,32806
"19",1,0,1,2,1,89510
"20",1,1,1,2,1,34281
"21",0,0,2,2,1,132999
"22",0,1,2,2,1,32877
"23",1,0,2,2,1,108409
"24",1,1,2,2,1,37402
"25",0,0,3,2,1,89608
"26",0,1,3,2,1,14505
"27",1,0,3,2,1,126165
"28",1,1,3,2,1,21399
"29",0,0,4,2,1,33864
"30",0,1,4,2,1,3513
"31",1,0,4,2,1,62985
"32",1,1,4,2,1,6289
"33",0,0,1,3,1,95846
"34",0,1,1,3,1,23509
"35",1,0,1,3,1,116447
"36",1,1,1,3,1,40218
"37",0,0,2,3,1,122598
"38",0,1,2,3,1,25352
"39",1,0,2,3,1,90055
"40",1,1,2,3,1,35818
"41",0,0,3,3,1,63077
"42",0,1,3,3,1,7775
"43",1,0,3,3,1,62275
"44",1,1,3,3,1,10635
"45",0,0,4,3,1,20503
"46",0,1,4,3,1,1565
"47",1,0,4,3,1,28492
"48",1,1,4,3,1,2688
"49",0,0,1,4,1,35325
"50",0,1,1,4,1,3598
"51",1,0,1,4,1,43462
"52",1,1,1,4,1,6521
"53",0,0,2,4,1,107787
"54",0,1,2,4,1,10022
"55",1,0,2,4,1,66394
"56",1,1,2,4,1,16536
"57",0,0,3,4,1,62244
"58",0,1,3,4,1,4863
"59",1,0,3,4,1,36741
"60",1,1,3,4,1,7832
"61",0,0,4,4,1,18575
"62",0,1,4,4,1,1630
"63",1,0,4,4,1,17754
"64",1,1,4,4,1,3472
"65",0,0,1,1,2,8782
"66",0,1,1,1,2,248
"67",1,0,1,1,2,6965
"68",1,1,1,1,2,271
"69",0,0,2,1,2,7954
"70",0,1,2,1,2,159
"71",1,0,2,1,2,6134
"72",1,1,2,1,2,167
"73",0,0,3,1,2,8061
"74",0,1,3,1,2,200
"75",1,0,3,1,2,7496
"76",1,1,3,1,2,171
"77",0,0,4,1,2,4035
"78",0,1,4,1,2,169
"79",1,0,4,1,2,4427
"80",1,1,4,1,2,205
"81",0,0,1,2,2,21631
"82",0,1,1,2,2,1895
"83",1,0,1,2,2,17046
"84",1,1,1,2,2,861
"85",0,0,2,2,2,29971
"86",0,1,2,2,2,935
"87",1,0,2,2,2,19770
"88",1,1,2,2,2,492
"89",0,0,3,2,2,11446
"90",0,1,3,2,2,274
"91",1,0,3,2,2,10897
"92",1,1,3,2,2,237
"93",0,0,4,2,2,2589
"94",0,1,4,2,2,60
"95",1,0,4,2,2,3101
"96",1,1,4,2,2,68
"97",0,0,1,3,2,19555
"98",0,1,1,3,2,1390
"99",1,0,1,3,2,17774
"100",1,1,1,3,2,1215
"101",0,0,2,3,2,38406
"102",0,1,2,3,2,1624
"103",1,0,2,3,2,29262
"104",1,1,2,3,2,1227
"105",0,0,3,3,2,12823
"106",0,1,3,3,2,476
"107",1,0,3,3,2,11434
"108",1,1,3,3,2,421
"109",0,0,4,3,2,1940
"110",0,1,4,3,2,37
"111",1,0,4,3,2,2655
"112",1,1,4,3,2,21
"113",0,0,1,4,2,4764
"114",0,1,1,4,2,84
"115",1,0,1,4,2,5097
"116",1,1,1,4,2,230
"117",0,0,2,4,2,26062
"118",0,1,2,4,2,521
"119",1,0,2,4,2,19410
"120",1,1,2,4,2,394
"121",0,0,3,4,2,12663
"122",0,1,3,4,2,196
"123",1,0,3,4,2,8332
"124",1,1,3,4,2,179
"125",0,0,4,4,2,1442
"126",0,1,4,4,2,14
"127",1,0,4,4,2,1366
"128",1,1,4,4,2,30
"129",0,0,1,1,3,84029
"130",0,1,1,1,3,3008
"131",1,0,1,1,3,69680
"132",1,1,1,1,3,2448
"133",0,0,2,1,3,73574
"134",0,1,2,1,3,1955
"135",1,0,2,1,3,59481
"136",1,1,2,1,3,1754
"137",0,0,3,1,3,66030
"138",0,1,3,1,3,2350
"139",1,0,3,1,3,78213
"140",1,1,3,1,3,2501
"141",0,0,4,1,3,69156
"142",0,1,4,1,3,1829
"143",1,0,4,1,3,89143
"144",1,1,4,1,3,2662
"145",0,0,1,2,3,94793
"146",0,1,1,2,3,3899
"147",1,0,1,2,3,88841
"148",1,1,1,2,3,3061
"149",0,0,2,2,3,113185
"150",0,1,2,2,3,3077
"151",1,0,2,2,3,104890
"152",1,1,2,2,3,2695
"153",0,0,3,2,3,72373
"154",0,1,3,2,3,1326
"155",1,0,3,2,3,103343
"156",1,1,3,2,3,1781
"157",0,0,4,2,3,50560
"158",0,1,4,2,3,447
"159",1,0,4,2,3,86073
"160",1,1,4,2,3,807
"161",0,0,1,3,3,127766
"162",0,1,1,3,3,5695
"163",1,0,1,3,3,135237
"164",1,1,1,3,3,4836
"165",0,0,2,3,3,188090
"166",0,1,2,3,3,6542
"167",1,0,2,3,3,157703
"168",1,1,2,3,3,5488
"169",0,0,3,3,3,90048
"170",0,1,3,3,3,2639
"171",1,0,3,3,3,99875
"172",1,1,3,3,3,2414
"173",0,0,4,3,3,45587
"174",0,1,4,3,3,352
"175",1,0,4,3,3,60546
"176",1,1,4,3,3,518
"177",0,0,1,4,3,39723
"178",0,1,1,4,3,924
"179",1,0,1,4,3,39545
"180",1,1,1,4,3,907
"181",0,0,2,4,3,133376
"182",0,1,2,4,3,2580
"183",1,0,2,4,3,90204
"184",1,1,2,4,3,1824
"185",0,0,3,4,3,77824
"186",0,1,3,4,3,1138
"187",1,0,3,4,3,51244
"188",1,1,3,4,3,984
"189",0,0,4,4,3,37565
"190",0,1,4,4,3,206
"191",1,0,4,4,3,31372
"192",1,1,4,4,3,377
"193",0,0,1,1,4,41742
"194",0,1,1,1,4,10538
"195",1,0,1,1,4,35240
"196",1,1,1,1,4,10011
"197",0,0,2,1,4,52510
"198",0,1,2,1,4,10654
"199",1,0,2,1,4,32679
"200",1,1,2,1,4,11709
"201",0,0,3,1,4,63420
"202",0,1,3,1,4,12867
"203",1,0,3,1,4,67192
"204",1,1,3,1,4,16329
"205",0,0,4,1,4,71636
"206",0,1,4,1,4,14092
"207",1,0,4,1,4,102085
"208",1,1,4,1,4,21741
"209",0,0,1,2,4,62571
"210",0,1,1,2,4,12583
"211",1,0,1,2,4,69019
"212",1,1,1,2,4,13942
"213",0,0,2,2,4,95374
"214",0,1,2,2,4,12885
"215",1,0,2,2,4,77159
"216",1,1,2,2,4,14626
"217",0,0,3,2,4,63385
"218",0,1,3,2,4,4107
"219",1,0,3,2,4,85118
"220",1,1,3,2,4,6769
"221",0,0,4,2,4,26028
"222",0,1,4,2,4,1128
"223",1,0,4,2,4,44965
"224",1,1,4,2,4,2016
"225",0,0,1,3,4,51762
"226",0,1,1,3,4,7593
"227",1,0,1,3,4,63712
"228",1,1,1,3,4,12111
"229",0,0,2,3,4,70108
"230",0,1,2,3,4,7493
"231",1,0,2,3,4,54350
"232",1,1,2,3,4,10158
"233",0,0,3,3,4,37168
"234",0,1,3,3,4,2482
"235",1,0,3,3,4,38549
"236",1,1,3,3,4,2594
"237",0,0,4,3,4,16407
"238",0,1,4,3,4,477
"239",1,0,4,3,4,22626
"240",1,1,4,3,4,808
"241",0,0,1,4,4,15889
"242",0,1,1,4,4,1225
"243",1,0,1,4,4,20430
"244",1,1,1,4,4,2087
"245",0,0,2,4,4,51741
"246",0,1,2,4,4,3514
"247",1,0,2,4,4,36255
"248",1,1,2,4,4,5273
"249",0,0,3,4,4,31739
"250",0,1,3,4,4,1542
"251",1,0,3,4,4,21390
"252",1,1,3,4,4,2018
"253",0,0,4,4,4,12032
"254",0,1,4,4,4,566
"255",1,0,4,4,4,12081
"256",1,1,4,4,4,1128
"257",0,0,1,1,5,908906
"258",0,1,1,1,5,67409
"259",1,0,1,1,5,659972
"260",1,1,1,1,5,47236
"261",0,0,2,1,5,856945
"262",0,1,2,1,5,43256
"263",1,0,2,1,5,649034
"264",1,1,2,1,5,38392
"265",0,0,3,1,5,513375
"266",0,1,3,1,5,43540
"267",1,0,3,1,5,618384
"268",1,1,3,1,5,48586
"269",0,0,4,1,5,418548
"270",0,1,4,1,5,37541
"271",1,0,4,1,5,639119
"272",1,1,4,1,5,56146
"273",0,0,1,2,5,761932
"274",0,1,1,2,5,86897
"275",1,0,1,2,5,643685
"276",1,1,1,2,5,67617
"277",0,0,2,2,5,821861
"278",0,1,2,2,5,64991
"279",1,0,2,2,5,698106
"280",1,1,2,2,5,62413
"281",0,0,3,2,5,449835
"282",0,1,3,2,5,38766
"283",1,0,3,2,5,660227
"284",1,1,3,2,5,46499
"285",0,0,4,2,5,292095
"286",0,1,4,2,5,12067
"287",1,0,4,2,5,537188
"288",1,1,4,2,5,20066
"289",0,0,1,3,5,952182
"290",0,1,1,3,5,87330
"291",1,0,1,3,5,979989
"292",1,1,1,3,5,97400
"293",0,0,2,3,5,1449151
"294",0,1,2,3,5,109647
"295",1,0,2,3,5,1211453
"296",1,1,2,3,5,125162
"297",0,0,3,3,5,669885
"298",0,1,3,3,5,54102
"299",1,0,3,3,5,723900
"300",1,1,3,3,5,61448
"301",0,0,4,3,5,268491
"302",0,1,4,3,5,9332
"303",1,0,4,3,5,371428
"304",1,1,4,3,5,13958
"305",0,0,1,4,5,393802
"306",0,1,1,4,5,16211
"307",1,0,1,4,5,389604
"308",1,1,1,4,5,20971
"309",0,0,2,4,5,1299394
"310",0,1,2,4,5,49639
"311",1,0,2,4,5,880522
"312",1,1,2,4,5,46975
"313",0,0,3,4,5,731713
"314",0,1,3,4,5,27520
"315",1,0,3,4,5,474016
"316",1,1,3,4,5,25736
"317",0,0,4,4,5,242635
"318",0,1,4,4,5,4331
"319",1,0,4,4,5,192618
"320",1,1,4,4,5,6296
"321",0,0,1,1,6,52170
"322",0,1,1,1,6,2588
"323",1,0,1,1,6,44245
"324",1,1,1,1,6,2469
"325",0,0,2,1,6,47213
"326",0,1,2,1,6,2242
"327",1,0,2,1,6,36331
"328",1,1,2,1,6,2027
"329",0,0,3,1,6,43585
"330",0,1,3,1,6,2169
"331",1,0,3,1,6,50038
"332",1,1,3,1,6,2334
"333",0,0,4,1,6,47556
"334",0,1,4,1,6,1381
"335",1,0,4,1,6,66342
"336",1,1,4,1,6,2253
"337",0,0,1,2,6,85064
"338",0,1,1,2,6,5617
"339",1,0,1,2,6,80148
"340",1,1,1,2,6,4462
"341",0,0,2,2,6,118854
"342",0,1,2,2,6,4305
"343",1,0,2,2,6,107590
"344",1,1,2,2,6,4120
"345",0,0,3,2,6,70106
"346",0,1,3,2,6,2540
"347",1,0,3,2,6,96778
"348",1,1,3,2,6,3073
"349",0,0,4,2,6,33722
"350",0,1,4,2,6,544
"351",1,0,4,2,6,61587
"352",1,1,4,2,6,1212
"353",0,0,1,3,6,113383
"354",0,1,1,3,6,6152
"355",1,0,1,3,6,115946
"356",1,1,1,3,6,5705
"357",0,0,2,3,6,183637
"358",0,1,2,3,6,7157
"359",1,0,2,3,6,157588
"360",1,1,2,3,6,6624
"361",0,0,3,3,6,74977
"362",0,1,3,3,6,3544
"363",1,0,3,3,6,83907
"364",1,1,3,3,6,3044
"365",0,0,4,3,6,24935
"366",0,1,4,3,6,526
"367",1,0,4,3,6,38346
"368",1,1,4,3,6,580
"369",0,0,1,4,6,46050
"370",0,1,1,4,6,1305
"371",1,0,1,4,6,49626
"372",1,1,1,4,6,1093
"373",0,0,2,4,6,184312
"374",0,1,2,4,6,3649
"375",1,0,2,4,6,130420
"376",1,1,2,4,6,2862
"377",0,0,3,4,6,90851
"378",0,1,3,4,6,1873
"379",1,0,3,4,6,59999
"380",1,1,3,4,6,1561
"381",0,0,4,4,6,26095
"382",0,1,4,4,6,291
"383",1,0,4,4,6,22554
"384",1,1,4,4,6,442
"385",0,0,1,1,7,45650
"386",0,1,1,1,7,8415
"387",1,0,1,1,7,34607
"388",1,1,1,1,7,7649
"389",0,0,2,1,7,48693
"390",0,1,2,1,7,7734
"391",1,0,2,1,7,34102
"392",1,1,2,1,7,6915
"393",0,0,3,1,7,61685
"394",0,1,3,1,7,8606
"395",1,0,3,1,7,61432
"396",1,1,3,1,7,9708
"397",0,0,4,1,7,72145
"398",0,1,4,1,7,4208
"399",1,0,4,1,7,112187
"400",1,1,4,1,7,7171
"401",0,0,1,2,7,94579
"402",0,1,1,2,7,12128
"403",1,0,1,2,7,78793
"404",1,1,1,2,7,12038
"405",0,0,2,2,7,117383
"406",0,1,2,2,7,9846
"407",1,0,2,2,7,101419
"408",1,1,2,2,7,11597
"409",0,0,3,2,7,77476
"410",0,1,3,2,7,5999
"411",1,0,3,2,7,116011
"412",1,1,3,2,7,8754
"413",0,0,4,2,7,45214
"414",0,1,4,2,7,1338
"415",1,0,4,2,7,89388
"416",1,1,4,2,7,2073
"417",0,0,1,3,7,86513
"418",0,1,1,3,7,7827
"419",1,0,1,3,7,100112
"420",1,1,1,3,7,10598
"421",0,0,2,3,7,120709
"422",0,1,2,3,7,8151
"423",1,0,2,3,7,112468
"424",1,1,2,3,7,9930
"425",0,0,3,3,7,56760
"426",0,1,3,3,7,2542
"427",1,0,3,3,7,68592
"428",1,1,3,3,7,4220
"429",0,0,4,3,7,22971
"430",0,1,4,3,7,566
"431",1,0,4,3,7,31917
"432",1,1,4,3,7,845
"433",0,0,1,4,7,56963
"434",0,1,1,4,7,2355
"435",1,0,1,4,7,63554
"436",1,1,1,4,7,2690
"437",0,0,2,4,7,173830
"438",0,1,2,4,7,4806
"439",1,0,2,4,7,128814
"440",1,1,2,4,7,5257
"441",0,0,3,4,7,100762
"442",0,1,3,4,7,2183
"443",1,0,3,4,7,68197
"444",1,1,3,4,7,2427
"445",0,0,4,4,7,29485
"446",0,1,4,4,7,274
"447",1,0,4,4,7,25442
"448",1,1,4,4,7,440
"449",0,0,1,1,8,9688
"450",0,1,1,1,8,3391
"451",1,0,1,1,8,7115
"452",1,1,1,1,8,2730
"453",0,0,2,1,8,9820
"454",0,1,2,1,8,3129
"455",1,0,2,1,8,5736
"456",1,1,2,1,8,3225
"457",0,0,3,1,8,12032
"458",0,1,3,1,8,3807
"459",1,0,3,1,8,12343
"460",1,1,3,1,8,4073
"461",0,0,4,1,8,11846
"462",0,1,4,1,8,2581
"463",1,0,4,1,8,17561
"464",1,1,4,1,8,3836
"465",0,0,1,2,8,19358
"466",0,1,1,2,8,4791
"467",1,0,1,2,8,20795
"468",1,1,1,2,8,5346
"469",0,0,2,2,8,26107
"470",0,1,2,2,8,4290
"471",1,0,2,2,8,20279
"472",1,1,2,2,8,4996
"473",0,0,3,2,8,16083
"474",0,1,3,2,8,2051
"475",1,0,3,2,8,23190
"476",1,1,3,2,8,2732
"477",0,0,4,2,8,6886
"478",0,1,4,2,8,623
"479",1,0,4,2,8,14112
"480",1,1,4,2,8,950
"481",0,0,1,3,8,17000
"482",0,1,1,3,8,2955
"483",1,0,1,3,8,22390
"484",1,1,1,3,8,3928
"485",0,0,2,3,8,23296
"486",0,1,2,3,8,3013
"487",1,0,2,3,8,18544
"488",1,1,2,3,8,4108
"489",0,0,3,3,8,10854
"490",0,1,3,3,8,1007
"491",1,0,3,3,8,12287
"492",1,1,3,3,8,1553
"493",0,0,4,3,8,4635
"494",0,1,4,3,8,80
"495",1,0,4,3,8,6745
"496",1,1,4,3,8,291
"497",0,0,1,4,8,8411
"498",0,1,1,4,8,714
"499",1,0,1,4,8,10890
"500",1,1,1,4,8,867
"501",0,0,2,4,8,25210
"502",0,1,2,4,8,1613
"503",1,0,2,4,8,16732
"504",1,1,2,4,8,1742
"505",0,0,3,4,8,14761
"506",0,1,3,4,8,889
"507",1,0,3,4,8,9295
"508",1,1,3,4,8,980
"509",0,0,4,4,8,5995
"510",0,1,4,4,8,157
"511",1,0,4,4,8,4110
"512",1,1,4,4,8,262
"513",0,0,1,1,9,3560
"514",0,1,1,1,9,13021
"515",1,0,1,1,9,3430
"516",1,1,1,1,9,11907
"517",0,0,2,1,9,6046
"518",0,1,2,1,9,11573
"519",1,0,2,1,9,1531
"520",1,1,2,1,9,11177
"521",0,0,3,1,9,1661
"522",0,1,3,1,9,14727
"523",1,0,3,1,9,2044
"524",1,1,3,1,9,16794
"525",0,0,4,1,9,1673
"526",0,1,4,1,9,11653
"527",1,0,4,1,9,2956
"528",1,1,4,1,9,18491
"529",0,0,1,2,9,3543
"530",0,1,1,2,9,11944
