"","org","year","survey","bush","state","edu","age","female","black","weight"
"1",1,1,1,1,7,2,2,1,0,1403
"2",1,1,1,1,33,4,3,0,0,778
"3",1,1,1,0,20,2,1,1,0,1564
"4",1,1,1,1,31,3,2,1,0,1055
"5",1,1,1,1,18,3,1,1,0,1213
"6",1,1,1,1,31,4,2,0,0,910
"7",1,1,1,1,40,1,3,0,0,735
"8",1,1,1,1,33,4,2,1,0,410
"9",1,1,1,0,22,4,2,1,0,410
"10",1,1,1,1,22,4,3,0,0,778
"11",1,1,1,1,33,4,1,1,0,2118
"12",1,1,1,1,22,4,1,1,0,706
"13",1,1,1,1,39,2,3,1,0,1323
"14",1,1,1,1,33,2,3,0,0,735
"15",1,1,1,0,31,4,2,1,0,410
"16",1,1,1,1,33,2,3,0,0,2204
"17",1,1,1,0,10,3,3,1,0,286
"18",1,1,1,0,33,3,2,1,1,528
"19",1,1,1,1,40,4,2,1,0,820
"20",1,1,1,0,33,3,2,0,0,781
"21",1,1,1,1,39,1,4,1,0,3508
"22",1,1,1,1,31,4,2,0,0,455
"23",1,1,1,1,33,1,4,0,0,1948
"24",1,1,1,1,41,3,2,0,0,1001
"25",1,1,1,0,33,4,2,1,1,1230
"26",1,1,1,1,15,4,4,1,0,411
"27",1,1,1,0,22,2,2,1,0,701
"28",1,1,1,0,39,2,2,1,0,1403
"29",1,1,1,0,22,3,2,0,0,781
"30",1,1,1,1,7,4,3,1,0,701
"31",1,1,1,0,33,4,3,0,0,778
"32",1,1,1,1,22,4,3,0,0,778
"33",1,1,1,0,10,1,4,1,0,1498
"34",1,1,1,0,31,4,2,0,0,455
"35",1,1,1,1,19,1,4,0,0,1663
"36",1,1,1,1,22,2,3,1,0,1323
"37",1,1,1,0,33,4,2,0,0,910
"38",1,1,1,0,43,3,2,0,1,1527
"39",1,1,1,0,14,2,3,0,0,1107
"40",1,1,1,1,1,2,3,1,0,1130
"41",1,1,1,1,14,1,1,0,1,1497
"42",1,1,1,0,16,2,3,0,0,554
"43",1,1,1,1,10,1,1,1,0,1335
"44",1,1,1,0,21,4,2,0,0,389
"45",1,1,1,0,33,4,1,1,0,1059
"46",1,1,1,1,25,4,2,0,0,389
"47",1,1,1,1,39,2,3,0,0,735
"48",1,1,1,0,36,2,3,1,0,997
"49",1,1,1,1,49,4,1,0,0,1339
"50",1,1,1,1,1,1,3,1,1,848
"51",1,1,1,1,34,2,1,1,0,1335
"52",1,1,1,1,36,3,1,0,0,396
"53",1,1,1,0,47,4,2,1,0,700
"54",1,1,1,1,34,3,2,0,0,667
"55",1,1,1,1,23,3,2,1,0,530
"56",1,1,1,NA,50,4,4,1,0,822
"57",1,1,1,NA,36,3,2,1,0,265
"58",1,1,1,0,10,4,3,0,0,664
"59",1,1,1,1,24,2,2,1,0,1057
"60",1,1,1,1,19,3,2,0,0,667
"61",1,1,1,0,43,2,1,1,0,1335
"62",1,1,1,NA,24,1,4,1,0,661
"63",1,1,1,NA,26,2,4,0,0,1468
"64",1,1,1,0,23,1,4,0,0,1468
"65",1,1,1,0,50,1,4,0,0,734
"66",1,1,1,1,4,3,2,0,0,667
"67",1,1,1,1,34,3,2,0,0,334
"68",1,1,1,1,14,4,2,1,0,618
"69",1,1,1,1,14,4,1,1,0,532
"70",1,1,1,1,15,4,3,0,0,293
"71",1,1,1,1,50,2,2,1,0,1057
"72",1,1,1,1,25,2,4,1,0,749
"73",1,1,1,0,10,4,4,0,0,1035
"74",1,1,1,1,16,4,2,1,0,618
"75",1,1,1,0,50,2,2,0,0,1761
"76",1,1,1,0,44,2,3,1,0,565
"77",1,1,1,1,15,4,3,0,0,586
"78",1,1,1,1,10,1,1,0,0,1483
"79",1,1,1,1,24,2,1,1,0,1767
"80",1,1,1,1,18,4,2,1,0,700
"81",1,1,1,1,16,2,3,0,0,1107
"82",1,1,1,1,16,4,2,0,0,171
"83",1,1,1,0,36,2,3,1,0,498
"84",1,1,1,0,43,3,1,1,1,607
"85",1,1,1,1,18,3,2,1,0,601
"86",1,1,1,0,48,3,1,1,0,1102
"87",1,1,1,0,17,3,1,1,0,1427
"88",1,1,1,1,50,2,3,1,0,1495
"89",1,1,1,0,36,4,2,0,0,343
"90",1,1,1,1,43,1,2,1,0,2249
"91",1,1,1,0,43,4,4,1,0,466
"92",1,1,1,1,10,3,4,0,0,423
"93",1,1,1,0,36,3,3,0,1,963
"94",1,1,1,0,32,1,3,1,0,513
"95",1,1,1,0,36,2,1,1,0,1178
"96",1,1,1,0,28,3,3,0,0,280
"97",1,1,1,1,21,4,2,1,0,700
"98",1,1,1,1,43,4,3,1,0,598
"99",1,1,1,0,34,2,2,0,0,998
"100",1,1,1,1,3,2,1,0,1,1542
"101",1,1,1,1,23,2,1,0,0,1963
"102",1,1,1,1,15,4,2,0,0,343
"103",1,1,1,1,45,1,2,0,0,1513
"104",1,1,1,1,1,3,3,1,0,859
"105",1,1,1,1,27,2,1,1,0,1213
"106",1,1,1,1,47,3,1,1,0,404
"107",1,1,1,0,19,3,1,1,1,1213
