label,step,time,value
log pred hmc,0,0.25136518478393555,-1914.8192960709957
log pred hmc,110,61.6275691986084,-142.1274306767997
log pred hmc,120,67.27996110916138,-134.21287325190443
log pred hmc,130,72.83665204048157,-124.92555249411099
log pred hmc,140,78.51751017570496,-118.87199039777458
log pred hmc,150,84.12464427947998,-113.41137555187562
log pred hmc,160,89.76235914230347,-107.57880954383819
log pred hmc,170,95.37694120407104,-103.09929259640053
log pred hmc,180,101.0956962108612,-95.65863672963307
log pred hmc,190,106.74321103096008,-93.47769540188794
log pred hmc,200,112.37832808494568,-90.94518927740475
