label,step,time,value
log pred nuts,0,0.25854015350341797,-1914.8192960709957
log pred nuts,1,1.7192509174346924,-1315.0382277712013
log pred nuts,2,2.3750531673431396,-1133.8586374961642
log pred nuts,3,3.1061980724334717,-1028.2738812619168
log pred nuts,4,6.074328184127808,-716.6471477999096
log pred nuts,5,6.729848146438599,-698.5420826033301
log pred nuts,6,9.616186141967773,-508.4382729778329
log pred nuts,7,11.052881240844727,-477.6285645891819
log pred nuts,8,13.97014307975769,-419.0830672986863
log pred nuts,9,15.416630983352661,-416.5917883186666
log pred nuts,10,18.395385026931763,-357.0122409439557
log pred nuts,11,24.309362173080444,-330.08671794636916
log pred nuts,12,27.250240087509155,-309.6549635673224
log pred nuts,13,39.27436017990112,-191.25877636698218
log pred nuts,14,51.606778144836426,-137.42742947402726
log pred nuts,15,79.25410318374634,-69.67368945258967
log pred nuts,16,104.22221803665161,-50.364905796476464
log pred nuts,17,203.07666301727295,-37.67863950335614
log pred nuts,18,280.26443004608154,-35.84490964654309
log pred nuts,19,379.158340215683,-34.079172986453976
log pred nuts,20,476.3014090061188,-28.097836906899825
