label,step,time,value
elbo,10,1.387472152709961,-1846138.2405471532
log pred advi,10,1.4499399662017822,-3781.3674258206534
elbo,20,2.807119131088257,-426358.5567586697
log pred advi,20,2.8650219440460205,-5468.979995974406
elbo,30,4.243826866149902,-53386.24622852932
log pred advi,30,4.300201892852783,-1005.9071755068865
elbo,40,5.648500919342041,-120897.59571556289
log pred advi,40,5.705065965652466,-881.3176887062248
elbo,50,7.042399883270264,-152380.7842114497
log pred advi,50,7.0995471477508545,-1257.273451577857
elbo,60,8.476842880249023,-108138.87573682987
log pred advi,60,8.533172845840454,-1767.7312881866314
elbo,70,9.93294882774353,-200732.24009897307
log pred advi,70,10.00592303276062,-741.8190605085434
elbo,80,11.58617901802063,-79296.85028724241
log pred advi,80,11.648488759994507,-1739.6192918364509
elbo,90,13.310909986495972,-131623.3743204416
log pred advi,90,13.382433891296387,-475.4851532079963
elbo,100,15.004416942596436,-98351.59830295052
log pred advi,100,15.077605962753296,-1078.7077538301378
elbo,110,16.45754885673523,-48293.70148194376
log pred advi,110,16.514453887939453,-408.41136675678763
elbo,120,17.872159004211426,-186099.97627187832
log pred advi,120,17.934734106063843,-1220.3194142442703
elbo,130,19.317230939865112,-79540.69563910048
log pred advi,130,19.374581813812256,-3454.7075421105656
elbo,140,20.73713994026184,-35903.28083791415
log pred advi,140,20.799299001693726,-1882.861808151589
elbo,150,22.223982095718384,-53081.37036470139
log pred advi,150,22.286057949066162,-1240.0211654799564
elbo,160,23.87778091430664,-45584.01929464352
log pred advi,160,23.951486825942993,-1830.3913145129084
elbo,170,25.67499804496765,-57221.99950941275
log pred advi,170,25.7480309009552,-911.6622397354442
elbo,180,27.091515064239502,-104857.95071444788
log pred advi,180,27.14853286743164,-385.12888367504365
elbo,190,28.493027925491333,-69269.99245905849
log pred advi,190,28.54970097541809,-870.2816801968473
elbo,200,29.929020881652832,-40783.9383913338
log pred advi,200,29.98620104789734,-2441.1185062880454
