label,step,time,value
avg log pred hmc,0,0.9495518207550049,-51.65595793813744
avg log pred hmc,1,3.9360928535461426,-11.558501971611303
avg log pred hmc,2,5.755480051040649,-10.106898589220911
avg log pred hmc,3,8.565958976745605,-9.163312926913068
avg log pred hmc,4,11.486390113830566,-8.477507706092315
avg log pred hmc,5,13.834203958511353,-7.956749392228822
avg log pred hmc,6,15.83336591720581,-7.543791958453175
avg log pred hmc,7,17.31668782234192,-7.206787404158208
avg log pred hmc,8,18.43030595779419,-6.9273766548863644
avg log pred hmc,9,19.797765970230103,-6.690222742292276
avg log pred hmc,10,20.93484401702881,-6.486224736943216
avg log pred hmc,11,21.994295120239258,-6.308025903218044
avg log pred hmc,12,23.04505491256714,-6.15036169971217
avg log pred hmc,13,24.093299865722656,-6.010591632859342
avg log pred hmc,14,25.320662021636963,-5.885574035867545
avg log pred hmc,15,26.670397996902466,-5.773153530181455
avg log pred hmc,16,27.830600023269653,-5.671290084878224
avg log pred hmc,17,28.90673589706421,-5.578634113692464
avg log pred hmc,18,30.3401620388031,-5.49408172169741
avg log pred hmc,19,31.377636909484863,-5.416159809986668
avg log pred hmc,20,32.41181015968323,-5.344318543445676
avg log pred hmc,21,33.451688051223755,-5.277686177889266
avg log pred hmc,22,34.4674277305603,-5.215954619781778
avg log pred hmc,23,35.52141809463501,-5.158665583335083
avg log pred hmc,24,36.52511215209961,-5.10533553148343
avg log pred hmc,25,37.551493883132935,-5.055442689951941
avg log pred hmc,26,38.56334209442139,-5.008674975679193
avg log pred hmc,27,39.6641731262207,-4.964818001968556
avg log pred hmc,28,40.74003505706787,-4.923746942742924
avg log pred hmc,29,41.92350387573242,-4.8851366247847965
avg log pred hmc,30,43.22651791572571,-4.848644149439516
avg log pred hmc,31,44.38722491264343,-4.814113010396319
avg log pred hmc,32,45.52026081085205,-4.781386159357516
avg log pred hmc,33,46.65120792388916,-4.750357187190859
avg log pred hmc,34,47.816078901290894,-4.720889580973803
avg log pred hmc,35,49.220919132232666,-4.6929220711656345
avg log pred hmc,36,50.37306809425354,-4.6662311176821385
avg log pred hmc,37,51.48884201049805,-4.640723776682856
avg log pred hmc,38,52.54235291481018,-4.616407872646483
avg log pred hmc,39,53.70848989486694,-4.593114678089822
avg log pred hmc,40,54.914846897125244,-4.570843699329326
avg log pred hmc,41,56.10863208770752,-4.549477897713939
avg log pred hmc,42,57.27288293838501,-4.528968474423161
avg log pred hmc,43,58.44493389129639,-4.50930163778978
avg log pred hmc,44,59.514991760253906,-4.490446264347556
avg log pred hmc,45,60.60172891616821,-4.4723363706908446
avg log pred hmc,46,61.82049298286438,-4.4549123889698645
avg log pred hmc,47,62.95004892349243,-4.438136286856782
avg log pred hmc,48,64.0518729686737,-4.42199938726292
avg log pred hmc,49,65.04728507995605,-4.406446136759565
avg log pred hmc,50,66.3050708770752,-4.391468050794328
avg log pred hmc,51,67.69692707061768,-4.377048586980793
avg log pred hmc,52,68.91919803619385,-4.363127002230191
avg log pred hmc,53,69.9233889579773,-4.349647808457058
avg log pred hmc,54,71.22735691070557,-4.3366107924096715
avg log pred hmc,55,72.63109397888184,-4.323992611238856
avg log pred hmc,56,73.82581615447998,-4.311747043584704
avg log pred hmc,57,75.00357508659363,-4.299870024148631
avg log pred hmc,58,76.19430780410767,-4.2883760707149445
avg log pred hmc,59,77.2254741191864,-4.277241990317802
avg log pred hmc,60,78.64780688285828,-4.266473785976659
avg log pred hmc,61,79.70336318016052,-4.256028207479843
avg log pred hmc,62,80.93020296096802,-4.245875304705507
avg log pred hmc,63,81.92887997627258,-4.2360308033563765
avg log pred hmc,64,82.89096403121948,-4.226467957183676
avg log pred hmc,65,83.87832713127136,-4.217183831192232
avg log pred hmc,66,84.85813617706299,-4.208150343997775
avg log pred hmc,67,85.82643508911133,-4.199379590799305
avg log pred hmc,68,86.82544684410095,-4.190841917640419
avg log pred hmc,69,87.79641389846802,-4.182531992727062
avg log pred hmc,70,88.77269196510315,-4.174448134292855
avg log pred hmc,71,89.74291586875916,-4.166580744525927
avg log pred hmc,72,90.73066711425781,-4.15890096884913
avg log pred hmc,73,91.70462584495544,-4.151424064942673
avg log pred hmc,74,92.68066692352295,-4.144140434690439
avg log pred hmc,75,93.65432500839233,-4.137050289930872
avg log pred hmc,76,94.62573194503784,-4.130130339038091
avg log pred hmc,77,95.61473202705383,-4.123367943134234
avg log pred hmc,78,96.64545798301697,-4.116760666227651
avg log pred hmc,79,97.66915583610535,-4.11029858944723
