label,step,time,value
avg log pred nuts,0,0.3951151371002197,-51.68972777637138
avg log pred nuts,1,1.4540059566497803,-22.040884245057732
avg log pred nuts,2,2.4630579948425293,-18.812593130221288
avg log pred nuts,3,4.642990827560425,-15.029062704124545
avg log pred nuts,4,5.672497034072876,-13.017814384372416
avg log pred nuts,5,7.934081792831421,-11.556909337189488
avg log pred nuts,6,10.151917934417725,-10.392321159951486
avg log pred nuts,7,14.726526021957397,-9.475854540299833
avg log pred nuts,8,19.325284004211426,-8.761571601914923
avg log pred nuts,9,28.633493185043335,-8.189927665212762
avg log pred nuts,10,104.59140205383301,-7.724506318319008
avg log pred nuts,11,142.51079487800598,-7.335387408322314
avg log pred nuts,12,180.32201290130615,-7.008852366651253
avg log pred nuts,13,218.08175706863403,-6.732137839053158
avg log pred nuts,14,256.0635840892792,-6.3740519294171945
avg log pred nuts,15,260.8235328197479,-6.041210462658884
avg log pred nuts,16,265.5334050655365,-5.743419390967201
avg log pred nuts,17,270.21439504623413,-5.473669154804542
avg log pred nuts,18,279.7590239048004,-5.213650166526418
avg log pred nuts,19,289.409383058548,-4.943448569053586
avg log pred nuts,20,299.4879379272461,-4.681932348034943
avg log pred nuts,21,309.04204392433167,-4.4276386065580535
avg log pred nuts,22,319.2707870006561,-4.178915731862624
avg log pred nuts,23,397.5934188365936,-3.922493608108234
avg log pred nuts,24,496.7571659088135,-3.6860018457350234
avg log pred nuts,25,582.981654882431,-3.4694747054976665
avg log pred nuts,26,653.1300580501556,-3.269935128876047
avg log pred nuts,27,728.9734508991241,-3.081664641305374
avg log pred nuts,28,789.1415598392487,-2.9050444073845947
avg log pred nuts,29,823.7159609794617,-2.7406048792514555
avg log pred nuts,30,854.0819520950317,-2.587152909226006
avg log pred nuts,31,902.4737889766693,-2.4436010662989727
avg log pred nuts,32,990.8921439647675,-2.309272032986452
avg log pred nuts,33,1049.8487839698792,-2.183084153208023
