label,step,time,value
avg log pred nuts,0,0.30710506439208984,-95.73539504919727
avg log pred nuts,1,0.8649280071258545,-12.21374234271754
avg log pred nuts,2,1.3241231441497803,-10.736797309137021
avg log pred nuts,3,1.50233793258667,-10.02087671748395
avg log pred nuts,4,1.9656438827514648,-9.5649099123275
avg log pred nuts,5,3.0405521392822266,-9.286251853809251
avg log pred nuts,6,6.928350925445557,-9.096507519223978
avg log pred nuts,7,8.286876201629639,-8.961829611481683
avg log pred nuts,8,10.1474130153656,-8.860600272593022
avg log pred nuts,9,11.301011800765991,-8.781878211710985
avg log pred nuts,10,12.34784197807312,-8.718923587241829
avg log pred nuts,11,13.440120935440063,-8.667415258130701
avg log pred nuts,12,14.570374011993408,-8.624491650538094
avg log pred nuts,13,15.818650960922241,-8.588171674882812
avg log pred nuts,14,16.994005918502808,-8.55699381385341
avg log pred nuts,15,18.413488149642944,-8.52987942259749
avg log pred nuts,16,19.707098960876465,-8.506154330248561
avg log pred nuts,17,21.162435054779053,-8.485220425234798
avg log pred nuts,18,23.086064100265503,-8.46661250966701
avg log pred nuts,19,24.2635498046875,-8.449963322053726
avg log pred nuts,20,25.46092414855957,-8.43497905320177
avg log pred nuts,21,27.750126123428345,-8.42142185757381
avg log pred nuts,22,28.850849866867065,-8.409097134275665
avg log pred nuts,23,31.163292169570923,-8.397849748258029
avg log pred nuts,24,32.3051061630249,-8.387539644408527
avg log pred nuts,25,34.568787813186646,-8.378054348866986
avg log pred nuts,26,37.153764963150024,-8.369298691444024
avg log pred nuts,27,38.81417894363403,-8.361191601237579
avg log pred nuts,28,40.361021995544434,-8.353663588903023
avg log pred nuts,29,42.48078393936157,-8.34665474983292
avg log pred nuts,30,44.53304696083069,-8.340113166700824
avg log pred nuts,31,46.54704403877258,-8.333993621190153
avg log pred nuts,32,47.52183389663696,-8.328256547273899
avg log pred nuts,33,49.71795916557312,-8.32284693380183
avg log pred nuts,34,54.20571303367615,-8.30326439848483
avg log pred nuts,35,59.17747402191162,-8.273565854929926
avg log pred nuts,36,60.37643003463745,-8.241554668146197
avg log pred nuts,37,62.92179083824158,-8.206711188994225
avg log pred nuts,38,63.57504892349243,-8.173583128544205
avg log pred nuts,39,66.18643188476562,-8.133694826706638
avg log pred nuts,40,66.66982793807983,-8.095764911515928
avg log pred nuts,41,67.37231993675232,-8.059246530962573
avg log pred nuts,42,68.78593921661377,-8.02397750424948
avg log pred nuts,43,69.8029899597168,-7.990348897383506
avg log pred nuts,44,70.26143193244934,-7.957730679299765
avg log pred nuts,45,70.71420192718506,-7.926475423012467
avg log pred nuts,46,71.97682499885559,-7.895606066806172
avg log pred nuts,47,72.75621294975281,-7.866050300225678
avg log pred nuts,48,73.26607990264893,-7.8377260239193705
avg log pred nuts,49,74.83953499794006,-7.810557840523525
avg log pred nuts,50,76.08272004127502,-7.784476384463513
avg log pred nuts,51,76.98472595214844,-7.759417730601934
avg log pred nuts,52,77.49905705451965,-7.735322871119645
avg log pred nuts,53,77.98374915122986,-7.71213725161782
avg log pred nuts,54,78.46140313148499,-7.689810358764212
avg log pred nuts,55,78.93650507926941,-7.668295352923461
avg log pred nuts,56,79.42013788223267,-7.647408633644904
avg log pred nuts,57,79.97654294967651,-7.627218693344912
avg log pred nuts,58,80.81525182723999,-7.6077249578828505
avg log pred nuts,59,81.31102395057678,-7.588802756188657
avg log pred nuts,60,82.13554811477661,-7.570511294550936
avg log pred nuts,61,82.89767289161682,-7.552755310832079
avg log pred nuts,62,84.20284295082092,-7.535572100781573
avg log pred nuts,63,85.3942289352417,-7.518934389462828
avg log pred nuts,64,85.82747793197632,-7.502816606622794
avg log pred nuts,65,86.26576900482178,-7.487194755562454
avg log pred nuts,66,86.7084789276123,-7.471723863567947
avg log pred nuts,67,87.85567712783813,-7.456093356508444
avg log pred nuts,68,88.6442449092865,-7.44092257024481
avg log pred nuts,69,89.61881113052368,-7.425549015044772
avg log pred nuts,70,90.05430293083191,-7.410614704279021
avg log pred nuts,71,90.8714988231659,-7.395831840328619
avg log pred nuts,72,91.3139009475708,-7.381459611487951
avg log pred nuts,73,92.2791211605072,-7.367481142341548
avg log pred nuts,74,92.7548840045929,-7.35388046965856
avg log pred nuts,75,93.58527398109436,-7.3406288100652635
avg log pred nuts,76,95.01140904426575,-7.327725878356
avg log pred nuts,77,95.81712198257446,-7.315055060347295
avg log pred nuts,78,96.27107191085815,-7.302695182600911
avg log pred nuts,79,96.85471105575562,-7.2905582786159995
avg log pred nuts,80,97.68836283683777,-7.27872479723071
avg log pred nuts,81,98.15491700172424,-7.267183500570983
avg log pred nuts,82,98.60628390312195,-7.25591244294132
avg log pred nuts,83,99.69627404212952,-7.244841471606128
avg log pred nuts,84,100.16183805465698,-7.233807969065562
avg log pred nuts,85,100.65457916259766,-7.223013157315505
avg log pred nuts,86,101.71108078956604,-7.212037955863041
avg log pred nuts,87,102.93862009048462,-7.200176650616574
avg log pred nuts,88,103.42558598518372,-7.188584920489345
avg log pred nuts,89,103.91600203514099,-7.177243851088039
avg log pred nuts,90,104.39810705184937,-7.166154805451208
avg log pred nuts,91,104.8624198436737,-7.155309475103097
avg log pred nuts,92,105.36099290847778,-7.144699912806032
avg log pred nuts,93,105.88422107696533,-7.134318513139012
avg log pred nuts,94,106.40803909301758,-7.124092314995655
avg log pred nuts,95,106.85110592842102,-7.1140814052342645
avg log pred nuts,96,107.33275890350342,-7.104279056092903
avg log pred nuts,97,107.80574893951416,-7.094678817243116
avg log pred nuts,98,108.2625880241394,-7.085269617761598
avg log pred nuts,99,108.82389187812805,-7.075980327859534
avg log pred nuts,100,109.60857582092285,-7.0668840756899325
avg log pred nuts,101,110.05583095550537,-7.057967947325671
avg log pred nuts,102,111.48470902442932,-7.049226645007767
avg log pred nuts,103,112.06395316123962,-7.040581854673203
avg log pred nuts,104,112.48349785804749,-7.032103310306612
avg log pred nuts,105,112.9030089378357,-7.023786475925105
avg log pred nuts,106,113.32474493980408,-7.015626562947022
avg log pred nuts,107,114.23086190223694,-7.007619171706847
avg log pred nuts,108,114.64753198623657,-6.999760065489639
avg log pred nuts,109,115.06272292137146,-6.992045163056233
avg log pred nuts,110,115.47061014175415,-6.984470531576162
avg log pred nuts,111,116.13653182983398,-6.976975698126457
avg log pred nuts,112,116.69261503219604,-6.969614700988354
avg log pred nuts,113,117.11518621444702,-6.962383986985438
avg log pred nuts,114,118.01858592033386,-6.955280127614152
avg log pred nuts,115,118.43287491798401,-6.9482905657519805
avg log pred nuts,116,118.99610805511475,-6.941421513577088
avg log pred nuts,117,119.41053509712219,-6.934669881097492
avg log pred nuts,118,119.82861995697021,-6.927991338129691
avg log pred nuts,119,120.23877692222595,-6.921425039581517
avg log pred nuts,120,120.65333795547485,-6.914962406399003
avg log pred nuts,121,121.32962799072266,-6.908561424971292
avg log pred nuts,122,121.74652886390686,-6.902265377665345
avg log pred nuts,123,122.15750002861023,-6.896071705112341
avg log pred nuts,124,122.70050001144409,-6.889977930503741
avg log pred nuts,125,123.23950409889221,-6.883981656288878
avg log pred nuts,126,123.77968192100525,-6.878080561029806
avg log pred nuts,127,124.68441009521484,-6.872272396404736
avg log pred nuts,128,125.10858583450317,-6.866554984351933
avg log pred nuts,129,125.52895617485046,-6.86092621434646
avg log pred nuts,130,126.1920120716095,-6.855384040802609
avg log pred nuts,131,127.09960603713989,-6.8499174796798155
avg log pred nuts,132,127.5519289970398,-6.8445337452407005
avg log pred nuts,133,128.01948308944702,-6.839205615787708
avg log pred nuts,134,128.4708490371704,-6.833935839137324
avg log pred nuts,135,129.59863996505737,-6.8287441332521315
avg log pred nuts,136,130.21568894386292,-6.823628775982898
avg log pred nuts,137,130.66651105880737,-6.81858809546212
avg log pred nuts,138,131.23790097236633,-6.813620468282223
avg log pred nuts,139,131.8643159866333,-6.808724317752397
avg log pred nuts,140,132.32429790496826,-6.803866924033674
avg log pred nuts,141,132.74880814552307,-6.799077792398118
avg log pred nuts,142,133.1918430328369,-6.79435611332081
avg log pred nuts,143,134.29070496559143,-6.78958423560347
avg log pred nuts,144,135.22394585609436,-6.784711261401502
avg log pred nuts,145,135.65035200119019,-6.779888414094666
avg log pred nuts,146,136.0820870399475,-6.775131633189293
avg log pred nuts,147,136.63892006874084,-6.770439570391477
avg log pred nuts,148,137.05275201797485,-6.765810913847685
avg log pred nuts,149,137.97334504127502,-6.7609517188644235
avg log pred nuts,150,138.39693903923035,-6.756152600205224
avg log pred nuts,151,138.82711386680603,-6.7513573927253745
avg log pred nuts,152,139.3976879119873,-6.746625280080787
avg log pred nuts,153,139.82784295082092,-6.741927622347775
avg log pred nuts,154,140.66280484199524,-6.73729097315675
avg log pred nuts,155,141.5783360004425,-6.7327141516972215
avg log pred nuts,156,142.4862940311432,-6.728196007435892
avg log pred nuts,157,143.3038809299469,-6.723735419152415
avg log pred nuts,158,143.72958707809448,-6.719331294011765
avg log pred nuts,159,144.28286719322205,-6.714982566671627
avg log pred nuts,160,144.70402598381042,-6.710688198423241
avg log pred nuts,161,145.1336920261383,-6.706450287439128
avg log pred nuts,162,145.5622169971466,-6.702264696343707
