label,step,time,value
avg log pred advi,1,0.24141788482666016,-580.272802239411
avg log pred advi,2,0.32492995262145996,-576.4400913725633
avg log pred advi,3,0.40594983100891113,-572.1087841023957
avg log pred advi,4,0.4855008125305176,-563.6524622219447
avg log pred advi,5,0.5681250095367432,-565.8757741555279
avg log pred advi,6,0.655850887298584,-565.7176038802872
avg log pred advi,7,0.7394270896911621,-564.1764459097164
avg log pred advi,8,0.8226819038391113,-560.749998167028
avg log pred advi,9,0.9026079177856445,-559.7176048853609
avg log pred advi,10,0.9845669269561768,-558.1352857888493
avg log pred advi,11,1.0639071464538574,-558.2664698873955
avg log pred advi,12,1.1465349197387695,-557.1454335838633
avg log pred advi,13,1.2264750003814697,-554.5535555435636
avg log pred advi,14,1.3105568885803223,-552.845119503894
avg log pred advi,15,1.395204782485962,-551.1904411226757
avg log pred advi,16,1.474518060684204,-549.2789961137098
avg log pred advi,17,1.5549120903015137,-548.6797930909071
avg log pred advi,18,1.6335270404815674,-548.7448619261534
avg log pred advi,19,1.7164700031280518,-546.241833880871
avg log pred advi,20,1.7988710403442383,-544.8987612533489
avg log pred advi,21,1.8811850547790527,-540.9176628328023
avg log pred advi,22,1.962709903717041,-537.0794326473774
avg log pred advi,23,2.0463180541992188,-535.9278441732479
avg log pred advi,24,2.125680923461914,-534.8209080527745
avg log pred advi,25,2.207847833633423,-533.1832890299806
avg log pred advi,26,2.288810968399048,-530.8854778445568
avg log pred advi,27,2.369457960128784,-529.304167770179
avg log pred advi,28,2.4492039680480957,-526.5456878089823
avg log pred advi,29,2.5310189723968506,-524.655192556934
avg log pred advi,30,2.6116437911987305,-522.6764720797848
avg log pred advi,31,2.69484281539917,-520.5254712952523
avg log pred advi,32,2.7766101360321045,-518.2782332489389
avg log pred advi,33,2.85591983795166,-516.8247405305665
avg log pred advi,34,2.935694932937622,-515.1601100738427
avg log pred advi,35,3.018129825592041,-513.3638809546256
avg log pred advi,36,3.0981199741363525,-511.92772076380015
avg log pred advi,37,3.178356885910034,-511.0169355190623
avg log pred advi,38,3.2589738368988037,-508.5066146854149
avg log pred advi,39,3.3394339084625244,-506.6891459344555
avg log pred advi,40,3.419076919555664,-504.9994311336952
avg log pred advi,41,3.5008487701416016,-503.118203674847
avg log pred advi,42,3.5838887691497803,-500.96820039948136
avg log pred advi,43,3.666548013687134,-498.64938211793697
avg log pred advi,44,3.7480788230895996,-496.80292724242395
avg log pred advi,45,3.828810930252075,-494.75879573059683
avg log pred advi,46,3.908972978591919,-493.1336355198734
avg log pred advi,47,3.991590976715088,-491.35964587681883
avg log pred advi,48,4.071303844451904,-489.1321196170604
avg log pred advi,49,4.154160976409912,-486.5441881628518
avg log pred advi,50,4.239609003067017,-484.59269344110714
avg log pred advi,51,4.324410915374756,-482.6835180623562
avg log pred advi,52,4.403990030288696,-481.00982640882654
avg log pred advi,53,4.483954906463623,-479.3560763857441
avg log pred advi,54,4.56334114074707,-477.47378922510586
avg log pred advi,55,4.642371892929077,-475.3230797730079
avg log pred advi,56,4.721728086471558,-473.0092305997904
avg log pred advi,57,4.8098061084747314,-471.2999823480695
avg log pred advi,58,4.890213966369629,-469.9038460354039
avg log pred advi,59,4.969764947891235,-468.0164128095268
avg log pred advi,60,5.04853892326355,-466.11146126630126
avg log pred advi,61,5.129137992858887,-464.4434903071311
avg log pred advi,62,5.209309816360474,-462.0602017995588
avg log pred advi,63,5.290421009063721,-459.4793635081414
avg log pred advi,64,5.371058940887451,-457.81505758416245
avg log pred advi,65,5.452033996582031,-456.21334525225336
avg log pred advi,66,5.530780792236328,-454.7883189202579
avg log pred advi,67,5.611767053604126,-452.4742870313298
avg log pred advi,68,5.691536903381348,-450.221662406328
avg log pred advi,69,5.774213790893555,-447.73894685011567
avg log pred advi,70,5.854054927825928,-446.0322406595728
avg log pred advi,71,5.933883905410767,-444.40879022227955
avg log pred advi,72,6.017522811889648,-442.5433720966271
avg log pred advi,73,6.100398778915405,-441.17070973147355
avg log pred advi,74,6.180283784866333,-439.9766224023076
avg log pred advi,75,6.263005971908569,-438.4854194284439
avg log pred advi,76,6.346948862075806,-436.9080950732498
avg log pred advi,77,6.426574945449829,-435.20394092907713
avg log pred advi,78,6.508225917816162,-433.7512510895344
avg log pred advi,79,6.589324951171875,-432.1097639413647
avg log pred advi,80,6.66816782951355,-430.10018730888356
avg log pred advi,81,6.747374773025513,-428.4704919027297
avg log pred advi,82,6.827894926071167,-426.124386991548
avg log pred advi,83,6.909121990203857,-424.1830865475815
avg log pred advi,84,6.989294052124023,-422.2925505618301
avg log pred advi,85,7.0705180168151855,-420.30972408919877
avg log pred advi,86,7.15087890625,-418.86189393465764
avg log pred advi,87,7.230284929275513,-417.0994357474744
avg log pred advi,88,7.318350076675415,-415.46884018679975
avg log pred advi,89,7.400981903076172,-413.7889321193831
avg log pred advi,90,7.480857849121094,-411.4109477156719
avg log pred advi,91,7.5603320598602295,-409.6403653993671
avg log pred advi,92,7.6397459506988525,-407.61410079784946
avg log pred advi,93,7.719197988510132,-406.0335373093509
avg log pred advi,94,7.799026966094971,-404.4173682461429
avg log pred advi,95,7.880497932434082,-402.1445154809041
avg log pred advi,96,7.959896087646484,-400.9294868704591
avg log pred advi,97,8.039766073226929,-399.2537095402869
avg log pred advi,98,8.122980833053589,-397.2760860801502
avg log pred advi,99,8.204036951065063,-396.0628343216473
avg log pred advi,100,8.289283752441406,-394.1172238464051
avg log pred advi,110,9.112797975540161,-373.94979018228264
avg log pred advi,120,9.929580926895142,-362.43045240822903
avg log pred advi,130,10.74471402168274,-349.9545721683319
avg log pred advi,140,11.550736904144287,-352.0595990161128
avg log pred advi,150,12.376175880432129,-377.02865943290453
avg log pred advi,160,13.194674015045166,-368.8069889458591
avg log pred advi,170,14.001702785491943,-369.5540154616346
avg log pred advi,180,14.813431978225708,-361.74323035817315
avg log pred advi,190,15.619019031524658,-374.6658891278841
avg log pred advi,200,16.426079988479614,-366.63564158721755
avg log pred advi,210,17.229838848114014,-374.20718334733476
avg log pred advi,220,18.03690505027771,-370.8460552697023
avg log pred advi,230,18.849777936935425,-404.26042116687046
avg log pred advi,240,19.65317702293396,-398.8063994420486
avg log pred advi,250,20.47481083869934,-393.1455312864061
avg log pred advi,260,21.283726930618286,-385.61036540937306
avg log pred advi,270,22.0932400226593,-383.7484049908068
avg log pred advi,280,22.908499002456665,-377.9935410373925
avg log pred advi,290,23.727943897247314,-371.1957645675234
avg log pred advi,300,24.562687873840332,-369.48858286565184
avg log pred advi,310,25.43931293487549,-363.3655401142593
avg log pred advi,320,26.31765389442444,-357.6959430876682
avg log pred advi,330,27.188085079193115,-352.416151045677
avg log pred advi,340,28.17971682548523,-347.5825314387699
avg log pred advi,350,29.118967056274414,-343.04619207831337
avg log pred advi,360,29.97564172744751,-339.6651665318502
avg log pred advi,370,30.84493112564087,-335.9150499335273
avg log pred advi,380,31.672613859176636,-331.5725403561582
avg log pred advi,390,32.49729895591736,-326.57302076572415
avg log pred advi,400,33.32864999771118,-322.420769606256
avg log pred advi,410,34.16731381416321,-318.3178226469861
avg log pred advi,420,35.06325697898865,-314.19729473462974
avg log pred advi,430,35.990556955337524,-310.2768541625711
avg log pred advi,440,37.035101890563965,-306.59543455915224
avg log pred advi,450,37.912516832351685,-304.326315610675
avg log pred advi,460,38.760212898254395,-301.16673238123155
avg log pred advi,470,39.59837484359741,-299.2147036651338
