label,step,time,value
avg log pred hmc,0,0.39553213119506836,-634.7095787756314
avg log pred hmc,1,0.7086372375488281,-185.80389832292883
avg log pred hmc,2,1.00285005569458,-106.22109336990343
avg log pred hmc,3,1.2956781387329102,-78.27198862846413
avg log pred hmc,4,1.5837030410766602,-63.29709077023054
avg log pred hmc,5,1.8731021881103516,-53.90697555934883
avg log pred hmc,6,2.1632750034332275,-47.35344919061061
avg log pred hmc,7,2.453296184539795,-42.521510541272875
avg log pred hmc,8,2.743288993835449,-38.78769457096709
avg log pred hmc,9,3.0305912494659424,-35.818642527834875
avg log pred hmc,10,3.320916175842285,-33.39534038512865
avg log pred hmc,11,3.611884117126465,-31.381072368874683
avg log pred hmc,12,3.903132200241089,-29.677418786468458
avg log pred hmc,13,4.192751169204712,-28.215662679624458
avg log pred hmc,14,4.483564138412476,-26.941838059362276
avg log pred hmc,15,4.779640197753906,-25.810444762341383
avg log pred hmc,16,5.0722880363464355,-24.781957192778172
avg log pred hmc,17,5.368136167526245,-23.825024866624165
avg log pred hmc,18,5.660999298095703,-22.97441835448727
avg log pred hmc,19,5.9536449909210205,-22.21334936994373
avg log pred hmc,20,6.245673894882202,-21.528387283854546
avg log pred hmc,21,6.538450241088867,-20.90865968215481
avg log pred hmc,22,6.83005428314209,-20.345270953336865
avg log pred hmc,23,7.120599985122681,-19.83087254876396
avg log pred hmc,24,7.414596080780029,-19.359340677905465
avg log pred hmc,25,7.707966327667236,-18.92553135671565
avg log pred hmc,26,8.000238180160522,-18.525091983309665
avg log pred hmc,27,8.294280290603638,-18.154314785711527
avg log pred hmc,28,8.585958242416382,-17.810021673656117
avg log pred hmc,29,8.884605169296265,-17.489472914156252
avg log pred hmc,30,9.177972316741943,-17.190294071956377
avg log pred hmc,31,9.482855081558228,-16.910417090543593
avg log pred hmc,32,9.776395082473755,-16.648032420469107
avg log pred hmc,33,10.067945957183838,-16.401549851611257
avg log pred hmc,34,10.36297607421875,-16.169566257392102
avg log pred hmc,35,10.654920101165771,-15.9508388685569
avg log pred hmc,36,10.950524091720581,-15.744263001323654
avg log pred hmc,37,11.245943069458008,-15.548853397184098
avg log pred hmc,38,11.538993120193481,-15.363728509051887
avg log pred hmc,39,11.827153205871582,-15.188097204926455
avg log pred hmc,40,12.11949610710144,-15.021247466007294
avg log pred hmc,41,12.411501169204712,-14.862536738742726
avg log pred hmc,42,12.70867395401001,-14.711383665157424
avg log pred hmc,43,13.005727291107178,-14.567260967087718
avg log pred hmc,44,13.313311338424683,-14.429689300748452
avg log pred hmc,45,13.615766048431396,-14.298231930690932
avg log pred hmc,46,13.9117112159729,-14.172490098462
avg log pred hmc,47,14.211120128631592,-14.052098982498128
avg log pred hmc,48,14.513591051101685,-13.936724163032752
avg log pred hmc,49,14.81194806098938,-13.826058519872083
avg log pred hmc,50,15.11127495765686,-13.719819502437842
avg log pred hmc,51,15.411529302597046,-13.617746720981414
avg log pred hmc,52,15.71432113647461,-13.519599815734848
avg log pred hmc,53,16.01365303993225,-13.42515656729004
avg log pred hmc,54,16.30784511566162,-13.334211216935781
avg log pred hmc,55,16.602757215499878,-13.246572970230767
avg log pred hmc,56,16.899083137512207,-13.162064660908076
avg log pred hmc,57,17.19117522239685,-13.080521555421267
avg log pred hmc,58,17.500418186187744,-13.001790281158144
avg log pred hmc,59,17.80962610244751,-12.925727863649703
avg log pred hmc,60,18.115349054336548,-12.852200860058208
avg log pred hmc,61,18.433800220489502,-12.781084577895943
avg log pred hmc,62,18.749961137771606,-12.712262369351816
avg log pred hmc,63,19.051332235336304,-12.645624992824962
avg log pred hmc,64,19.394174337387085,-12.581070034314571
avg log pred hmc,65,19.73653221130371,-12.518501382219887
avg log pred hmc,66,20.051570177078247,-12.457828749885646
avg log pred hmc,67,20.354515314102173,-12.398967240904666
avg log pred hmc,68,20.685097217559814,-12.341836952776069
avg log pred hmc,69,21.019546031951904,-12.28636261502801
avg log pred hmc,70,21.337436199188232,-12.232473258358468
avg log pred hmc,71,21.6352961063385,-12.180101911735955
avg log pred hmc,72,21.94909405708313,-12.129185324741846
avg log pred hmc,73,22.24010705947876,-12.079663712733876
avg log pred hmc,74,22.537049055099487,-12.031480522672068
avg log pred hmc,75,22.851091146469116,-11.984582217678575
avg log pred hmc,76,23.148173093795776,-11.938918078605964
avg log pred hmc,77,23.443555116653442,-11.894440021067705
avg log pred hmc,78,23.763625144958496,-11.851102426543248
avg log pred hmc,79,24.07180428504944,-11.808861986310548
avg log pred hmc,80,24.375599145889282,-11.767677557083667
avg log pred hmc,81,24.67006516456604,-11.72751002734387
avg log pred hmc,82,24.979084968566895,-11.688322193451384
avg log pred hmc,83,25.30338716506958,-11.650078644712933
avg log pred hmc,84,25.607136964797974,-11.612745656658731
avg log pred hmc,85,25.912395000457764,-11.576291091852866
avg log pred hmc,86,26.23619294166565,-11.540684307623879
avg log pred hmc,87,26.55013132095337,-11.505896070158778
avg log pred hmc,88,26.916657209396362,-11.471898474454248
avg log pred hmc,89,27.24517011642456,-11.438664869664425
avg log pred hmc,90,27.552226066589355,-11.406169789425487
avg log pred hmc,91,27.854522228240967,-11.37438888677422
avg log pred hmc,92,28.156085968017578,-11.343298873311022
avg log pred hmc,93,28.44764804840088,-11.312877462287894
avg log pred hmc,94,28.738044261932373,-11.283103315329088
avg log pred hmc,95,29.030755043029785,-11.253955992516781
avg log pred hmc,96,29.325438261032104,-11.2254159055964
avg log pred hmc,97,29.6175479888916,-11.197464274076438
avg log pred hmc,98,29.90873432159424,-11.170083084016067
avg log pred hmc,99,30.202972173690796,-11.14325504931045
avg log pred hmc,100,30.49772000312805,-11.116963575298946
avg log pred hmc,110,33.41532897949219,-10.880340309195411
avg log pred hmc,120,36.33952832221985,-10.68315425410913
avg log pred hmc,130,39.270801067352295,-10.516304515189965
avg log pred hmc,140,42.18972897529602,-10.373290453259257
avg log pred hmc,150,45.11372995376587,-10.249344932919307
avg log pred hmc,160,48.069021224975586,-10.140892602621854
avg log pred hmc,170,50.99157905578613,-10.04519937000645
avg log pred hmc,180,53.91133999824524,-9.960138718792757
avg log pred hmc,190,56.84107804298401,-9.884031820338405
avg log pred hmc,200,59.81072115898132,-9.815535611729489
avg log pred hmc,210,63.066678047180176,-9.753562851559511
avg log pred hmc,220,66.11356210708618,-9.697223978677718
avg log pred hmc,230,69.1887092590332,-9.645784138220428
avg log pred hmc,240,72.17532205581665,-9.598630951134583
avg log pred hmc,250,75.24433827400208,-9.555250019015599
avg log pred hmc,260,78.27728414535522,-9.515206081674998
avg log pred hmc,270,81.22965598106384,-9.478128361915184
avg log pred hmc,280,84.23206925392151,-9.443699050709645
avg log pred hmc,290,87.2847740650177,-9.411644174759658
avg log pred hmc,300,90.35540914535522,-9.38172629053967
avg log pred hmc,310,93.32260131835938,-9.35373859239839
avg log pred hmc,320,96.31947612762451,-9.327500125390944
avg log pred hmc,330,99.46293234825134,-9.302851868505158
avg log pred hmc,340,102.51192712783813,-9.279653509083243
avg log pred hmc,350,105.57685232162476,-9.25778077019972
avg log pred hmc,360,108.64513206481934,-9.237123183476397
avg log pred hmc,370,111.68789219856262,-9.217582223062443
avg log pred hmc,380,114.70715999603271,-9.199069734249221
avg log pred hmc,390,117.71215319633484,-9.181506603836679
avg log pred hmc,400,120.69670391082764,-9.164821629944761
avg log pred hmc,410,123.71835327148438,-9.148950557218308
avg log pred hmc,420,126.7658360004425,-9.133835249859775
avg log pred hmc,430,129.7834610939026,-9.1194229800528
avg log pred hmc,440,132.80097723007202,-9.105665813418875
avg log pred hmc,450,135.76521229743958,-9.092520076413123
avg log pred hmc,460,138.7671799659729,-9.079945893190233
avg log pred hmc,470,141.80315804481506,-9.067906781593846
avg log pred hmc,480,144.85187029838562,-9.056369299647306
avg log pred hmc,490,147.87133622169495,-9.045302735331243
avg log pred hmc,500,150.81564116477966,-9.034678833587817
avg log pred hmc,510,153.8488953113556,-9.024471555442178
avg log pred hmc,520,156.86040806770325,-9.014656864917521
avg log pred hmc,530,159.88195824623108,-9.00521254007304
avg log pred hmc,540,162.88231921195984,-8.996118005037616
avg log pred hmc,550,165.8780221939087,-8.987354180367115
