label,step,time,value
avg log pred nuts,0,0.4524397850036621,-635.5812728152368
avg log pred nuts,1,1.2195909023284912,-24.43338154076337
avg log pred nuts,2,1.3545770645141602,-18.86453413077413
avg log pred nuts,3,1.4824028015136719,-16.31501947006439
avg log pred nuts,4,1.8196070194244385,-14.761948941711358
avg log pred nuts,5,3.5131359100341797,-13.820463342936328
avg log pred nuts,6,3.8379428386688232,-13.192183041529189
avg log pred nuts,7,5.298069000244141,-12.743446962060414
avg log pred nuts,8,7.156795024871826,-12.40688862729973
avg log pred nuts,9,8.630798816680908,-12.145121033596977
avg log pred nuts,10,9.810078144073486,-11.935706958634777
avg log pred nuts,11,10.992555141448975,-11.764368170029337
avg log pred nuts,12,12.835147142410278,-11.621586546624247
avg log pred nuts,13,14.294520854949951,-11.500771586436413
avg log pred nuts,14,16.246987104415894,-11.397211306524646
avg log pred nuts,15,17.518980979919434,-11.307450589645402
avg log pred nuts,16,18.60460090637207,-11.228908235740578
avg log pred nuts,17,20.06152606010437,-11.159602871591094
avg log pred nuts,18,21.525945901870728,-11.097998103458218
avg log pred nuts,19,22.98660898208618,-11.042878047760384
avg log pred nuts,20,24.085004806518555,-10.99327258218787
avg log pred nuts,21,25.544314861297607,-10.948391744772897
avg log pred nuts,22,26.81434202194214,-10.907585843121366
avg log pred nuts,23,28.1828670501709,-10.8703226221303
avg log pred nuts,24,29.27586793899536,-10.836162598761145
avg log pred nuts,25,30.73052406311035,-10.804735377261522
avg log pred nuts,26,32.18539595603943,-10.775725634338793
avg log pred nuts,27,33.374507188797,-10.74886476126219
avg log pred nuts,28,34.83069896697998,-10.723919528816975
avg log pred nuts,29,36.09975790977478,-10.700694657230049
avg log pred nuts,30,37.388603925704956,-10.679019158240738
avg log pred nuts,31,38.486692905426025,-10.658742078541062
avg log pred nuts,32,39.200642824172974,-10.639732316322615
avg log pred nuts,33,40.40967416763306,-10.621872430786782
avg log pred nuts,34,41.51864504814148,-10.60506057959385
avg log pred nuts,35,42.22515392303467,-10.589209741414464
avg log pred nuts,36,42.9413001537323,-10.574239505356156
avg log pred nuts,37,43.84659385681152,-10.560078471246944
avg log pred nuts,38,44.545011043548584,-10.54666275472243
avg log pred nuts,39,46.006680965423584,-10.533932916389055
avg log pred nuts,40,46.717357873916626,-10.521836333765304
avg log pred nuts,41,47.89983797073364,-10.510329828342712
avg log pred nuts,42,48.60528588294983,-10.499369805226939
avg log pred nuts,43,50.063361167907715,-10.48891955062818
avg log pred nuts,44,50.76292300224304,-10.478944307602093
avg log pred nuts,45,51.47017312049866,-10.469412408710497
avg log pred nuts,46,52.181999921798706,-10.460294940205493
avg log pred nuts,47,53.63552498817444,-10.45156544908368
avg log pred nuts,48,54.818790912628174,-10.443199686758609
avg log pred nuts,49,55.72424507141113,-10.435175384120274
avg log pred nuts,50,56.90466499328613,-10.427472053587474
avg log pred nuts,51,57.61954307556152,-10.420070814448117
avg log pred nuts,52,58.88283920288086,-10.412954238352581
avg log pred nuts,53,59.59075117111206,-10.406106212298388
avg log pred nuts,54,60.296196937561035,-10.399511816838794
avg log pred nuts,55,61.00612497329712,-10.39315721757773
avg log pred nuts,56,61.91145300865173,-10.387029568290275
avg log pred nuts,57,63.36200785636902,-10.381114229923867
avg log pred nuts,58,64.63201117515564,-10.375402868742507
avg log pred nuts,59,65.53723502159119,-10.369885113024923
avg log pred nuts,60,66.23888397216797,-10.364551282497924
avg log pred nuts,61,66.9441921710968,-10.359392331660334
avg log pred nuts,62,68.41698598861694,-10.3543997985917
avg log pred nuts,63,69.68242907524109,-10.349565758636356
avg log pred nuts,64,70.38568782806396,-10.344882782429616
avg log pred nuts,65,71.5626049041748,-10.34034389779847
avg log pred nuts,66,72.26638293266296,-10.335942555125841
avg log pred nuts,67,72.9775218963623,-10.331672595816576
avg log pred nuts,68,73.68539810180664,-10.32752822354582
avg log pred nuts,69,74.87163805961609,-10.323503978007547
avg log pred nuts,70,75.57595610618591,-10.319594710913226
avg log pred nuts,71,77.04094505310059,-10.315795564018742
avg log pred nuts,72,77.74725484848022,-10.312101948982441
avg log pred nuts,73,78.45332908630371,-10.30850952887864
avg log pred nuts,74,79.15435099601746,-10.305014201210078
avg log pred nuts,75,79.85703992843628,-10.301612082279345
avg log pred nuts,76,80.56692409515381,-10.298299492794154
avg log pred nuts,77,81.85509896278381,-10.295072944594295
avg log pred nuts,78,82.57241702079773,-10.29192912839956
avg log pred nuts,79,83.28388404846191,-10.288864902488239
avg log pred nuts,80,83.99115705490112,-10.285877282224698
avg log pred nuts,81,84.89165592193604,-10.282963430362726
avg log pred nuts,82,85.59400796890259,-10.280120648058363
avg log pred nuts,83,86.2922420501709,-10.277346366532418
avg log pred nuts,84,86.99813413619995,-10.274638139328522
avg log pred nuts,85,87.70639395713806,-10.271993635117656
avg log pred nuts,86,88.41774296760559,-10.269410631004718
avg log pred nuts,87,89.1215329170227,-10.266887006296674
avg log pred nuts,88,90.02183103561401,-10.26441960395839
avg log pred nuts,89,90.7240960597992,-10.26200764886366
avg log pred nuts,90,91.44069695472717,-10.259649292771037
avg log pred nuts,91,92.36027908325195,-10.257342768680449
avg log pred nuts,92,93.07811689376831,-10.255086386417917
avg log pred nuts,93,94.55541586875916,-10.252878528505118
avg log pred nuts,94,95.27496194839478,-10.25071764629259
avg log pred nuts,95,95.99347591400146,-10.248602256337168
avg log pred nuts,96,96.89550709724426,-10.246530937005819
avg log pred nuts,97,97.63014793395996,-10.244502325289549
avg log pred nuts,98,98.36134195327759,-10.242515113812386
