label,step,time,value
avg log pred nuts,0,0.03383827209472656,-0.6931471805599466
avg log pred nuts,1,0.2855958938598633,-0.14307902243582957
avg log pred nuts,2,0.38023924827575684,-0.11290759117589119
avg log pred nuts,3,0.5748801231384277,-0.0844793601740983
avg log pred nuts,4,2.072634220123291,-0.06335980855430845
avg log pred nuts,5,14.64053988456726,-0.050710242277757396
avg log pred nuts,6,38.61602807044983,-0.042267125772923665
avg log pred nuts,7,45.641515016555786,-0.03623016158102711
avg log pred nuts,8,66.99683403968811,-0.03170174115855173
avg log pred nuts,9,84.54218602180481,-0.028179970587320004
avg log pred nuts,10,94.16689801216125,-0.02536405986305214
avg log pred nuts,11,103.28123307228088,-0.02305924799187375
avg log pred nuts,12,111.203125,-0.021138581703459128
avg log pred nuts,13,116.18959903717041,-0.01951342195822385
avg log pred nuts,14,116.6628532409668,-0.018120572723916647
avg log pred nuts,15,122.41433024406433,-0.016913809366455344
avg log pred nuts,16,123.85754823684692,-0.015858364131016604
avg log pred nuts,17,124.9385130405426,-0.014927087493321424
avg log pred nuts,18,132.3381130695343,-0.014099442274118024
avg log pred nuts,19,136.72648310661316,-0.013359386651664895
avg log pred nuts,20,144.6245560646057,-0.012702012255915458
avg log pred nuts,21,161.84753799438477,-0.012097278293759693
avg log pred nuts,22,165.15960907936096,-0.011550841626563033
avg log pred nuts,23,166.0888011455536,-0.011049954028035098
avg log pred nuts,24,167.43882083892822,-0.010590772574616623
avg log pred nuts,25,168.56476712226868,-0.010167811479987066
avg log pred nuts,26,183.8020260334015,-0.009777584562396652
avg log pred nuts,27,184.616849899292,-0.009416243519015164
avg log pred nuts,28,207.48125219345093,-0.009079955412809083
avg log pred nuts,29,208.31886911392212,-0.008766859317449775
avg log pred nuts,30,211.58670902252197,-0.008474634465129489
avg log pred nuts,31,216.8061819076538,-0.008201261310323452
avg log pred nuts,32,218.39019513130188,-0.007944974247643649
avg log pred nuts,33,222.8758180141449,-0.00770475892712878
avg log pred nuts,34,225.723149061203,-0.007478621299497981
avg log pred nuts,35,226.8258671760559,-0.007265479785194476
avg log pred nuts,36,228.71810007095337,-0.0070639239409853016
avg log pred nuts,37,237.24312710762024,-0.006873614603039274
avg log pred nuts,38,247.7033040523529,-0.006692916671331906
avg log pred nuts,39,251.82272219657898,-0.0065215558901972545
avg log pred nuts,40,255.17191195487976,-0.006359055905130972
avg log pred nuts,41,258.5355920791626,-0.006204998097284641
avg log pred nuts,42,266.1110999584198,-0.006057689284695811
avg log pred nuts,43,273.7537851333618,-0.005917057611794818
avg log pred nuts,44,276.0769832134247,-0.005782876891152144
avg log pred nuts,45,281.63504791259766,-0.005654635615044434
avg log pred nuts,46,285.140114068985,-0.005532010106026195
avg log pred nuts,47,288.2827970981598,-0.0054145803621828345
avg log pred nuts,48,289.25758123397827,-0.00530191019468374
avg log pred nuts,49,306.80070400238037,-0.005193838809531547
avg log pred nuts,50,316.7578639984131,-0.005090090279785442
avg log pred nuts,51,324.19872307777405,-0.004990605011387461
avg log pred nuts,52,327.4810152053833,-0.004894825866589465
avg log pred nuts,53,328.15810108184814,-0.004802680113039413
avg log pred nuts,54,331.7697961330414,-0.004713761038782735
avg log pred nuts,55,336.69573616981506,-0.0046280880242889205
avg log pred nuts,56,339.8870761394501,-0.004545469377319619
