,label,step,time,value
0,avg log pred advi,0,0,-1000.0
1,avg log pred advi,10,1,-999.000499833375
2,avg log pred advi,20,2,-998.001998667333
3,avg log pred advi,30,3,-997.004495503373
4,avg log pred advi,40,4,-996.0079893439915
5,avg log pred advi,50,5,-995.0124791926823
6,avg log pred advi,60,6,-994.0179640539353
7,avg log pred advi,70,7,-993.0244429332352
8,avg log pred advi,80,8,-992.0319148370606
9,avg log pred advi,90,9,-991.0403787728836
10,avg log pred advi,100,10,-990.0498337491681
11,avg log pred advi,110,11,-989.0602787753687
12,avg log pred advi,120,12,-988.0717128619306
13,avg log pred advi,130,13,-987.0841350202876
14,avg log pred advi,140,14,-986.0975442628619
15,avg log pred advi,150,15,-985.1119396030626
16,avg log pred advi,160,16,-984.1273200552852
17,avg log pred advi,170,17,-983.1436846349096
18,avg log pred advi,180,18,-982.1610323583008
19,avg log pred advi,190,19,-981.179362242806
20,avg log pred advi,200,20,-980.1986733067553
21,avg log pred advi,210,21,-979.2189645694596
22,avg log pred advi,220,22,-978.24023505121
23,avg log pred advi,230,23,-977.262483773277
24,avg log pred advi,240,24,-976.2857097579093
25,avg log pred advi,250,25,-975.3099120283326
26,avg log pred advi,260,26,-974.3350896087494
27,avg log pred advi,270,27,-973.3612415243368
28,avg log pred advi,280,28,-972.3883668012469
29,avg log pred advi,290,29,-971.4164644666048
30,avg log pred advi,300,30,-970.4455335485081
31,avg log pred advi,310,31,-969.475573076026
32,avg log pred advi,320,32,-968.5065820791976
33,avg log pred advi,330,33,-967.538559589032
34,avg log pred advi,340,34,-966.5715046375067
35,avg log pred advi,350,35,-965.6054162575665
36,avg log pred advi,360,36,-964.6402934831231
37,avg log pred advi,370,37,-963.6761353490535
38,avg log pred advi,380,38,-962.7129408911995
39,avg log pred advi,390,39,-961.7507091463667
40,avg log pred advi,400,40,-960.7894391523232
41,avg log pred advi,410,41,-959.829129947799
42,avg log pred advi,420,42,-958.8697805724845
43,avg log pred advi,430,43,-957.9113900670307
44,avg log pred advi,440,44,-956.9539574730467
45,avg log pred advi,450,45,-955.9974818331
46,avg log pred advi,460,46,-955.0419621907147
47,avg log pred advi,470,47,-954.0873975903711
48,avg log pred advi,480,48,-953.1337870775047
49,avg log pred advi,490,49,-952.1811296985048
50,avg log pred advi,500,50,-951.229424500714
51,avg log pred advi,510,51,-950.278670532427
52,avg log pred advi,520,52,-949.3288668428896
53,avg log pred advi,530,53,-948.3800124822982
54,avg log pred advi,540,54,-947.4321065017983
55,avg log pred advi,550,55,-946.4851479534839
56,avg log pred advi,560,56,-945.5391358903963
57,avg log pred advi,570,57,-944.5940693665234
58,avg log pred advi,580,58,-943.6499474367986
59,avg log pred advi,590,59,-942.7067691570998
60,avg log pred advi,600,60,-941.7645335842487
61,avg log pred advi,610,61,-940.8232397760097
62,avg log pred advi,620,62,-939.8828867910889
63,avg log pred advi,630,63,-938.9434736891333
64,avg log pred advi,640,64,-938.0049995307295
65,avg log pred advi,650,65,-937.0674633774034
66,avg log pred advi,660,66,-936.1308642916189
67,avg log pred advi,670,67,-935.1952013367766
68,avg log pred advi,680,68,-934.2604735772136
69,avg log pred advi,690,69,-933.326680078202
70,avg log pred advi,700,70,-932.3938199059482
71,avg log pred advi,710,71,-931.4618921275921
72,avg log pred advi,720,72,-930.5308958112057
73,avg log pred advi,730,73,-929.6008300257928
74,avg log pred advi,740,74,-928.6716938412873
75,avg log pred advi,750,75,-927.7434863285529
76,avg log pred advi,760,76,-926.8162065593823
77,avg log pred advi,770,77,-925.8898536064953
78,avg log pred advi,780,78,-924.9644265435393
79,avg log pred advi,790,79,-924.0399244450867
80,avg log pred advi,800,80,-923.1163463866358
81,avg log pred advi,810,81,-922.193691444608
82,avg log pred advi,820,82,-921.2719586963487
83,avg log pred advi,830,83,-920.3511472201246
84,avg log pred advi,840,84,-919.4312560951247
85,avg log pred advi,850,85,-918.5122844014574
86,avg log pred advi,860,86,-917.594231220151
87,avg log pred advi,870,87,-916.6770956331522
88,avg log pred advi,880,88,-915.7608767233256
89,avg log pred advi,890,89,-914.8455735744519
90,avg log pred advi,900,90,-913.9311852712282
91,avg log pred advi,910,91,-913.0177108992658
92,avg log pred advi,920,92,-912.1051495450904
93,avg log pred advi,930,93,-911.1935002961405
94,avg log pred advi,940,94,-910.2827622407669
95,avg log pred advi,950,95,-909.3729344682314
96,avg log pred advi,960,96,-908.4640160687062
97,avg log pred advi,970,97,-907.5560061332727
98,avg log pred advi,980,98,-906.6489037539209
99,avg log pred advi,990,99,-905.7427080235485
100,avg log pred advi,1000,100,-904.8374180359596
101,avg log pred advi,1010,101,-903.9330328858641
102,avg log pred advi,1020,102,-903.0295516688768
103,avg log pred advi,1030,103,-902.1269734815165
104,avg log pred advi,1040,104,-901.2252974212048
105,avg log pred advi,1050,105,-900.3245225862656
106,avg log pred advi,1060,106,-899.424648075924
107,avg log pred advi,1070,107,-898.5256729903055
