,label,step,time,value
0,avg log pred advi,0,0,-1000.0
1,avg log pred advi,10,1,-999.6000799893344
2,avg log pred advi,20,2,-999.2003199146837
3,avg log pred advi,30,3,-998.8007197120864
4,avg log pred advi,40,4,-998.4012793176064
5,avg log pred advi,50,5,-998.001998667333
6,avg log pred advi,60,6,-997.6028776973818
7,avg log pred advi,70,7,-997.203916343893
8,avg log pred advi,80,8,-996.8051145430329
9,avg log pred advi,90,9,-996.4064722309934
10,avg log pred advi,100,10,-996.0079893439915
11,avg log pred advi,110,11,-995.6096658182701
12,avg log pred advi,120,12,-995.2115015900972
13,avg log pred advi,130,13,-994.8134965957668
14,avg log pred advi,140,14,-994.4156507715978
15,avg log pred advi,150,15,-994.0179640539353
16,avg log pred advi,160,16,-993.6204363791489
17,avg log pred advi,170,17,-993.2230676836347
18,avg log pred advi,180,18,-992.8258579038134
19,avg log pred advi,190,19,-992.4288069761313
20,avg log pred advi,200,20,-992.0319148370606
21,avg log pred advi,210,21,-991.6351814230984
22,avg log pred advi,220,22,-991.2386066707672
23,avg log pred advi,230,23,-990.8421905166153
24,avg log pred advi,240,24,-990.445932897216
25,avg log pred advi,250,25,-990.0498337491681
26,avg log pred advi,260,26,-989.6538930090956
27,avg log pred advi,270,27,-989.2581106136482
28,avg log pred advi,280,28,-988.8624864995005
29,avg log pred advi,290,29,-988.4670206033528
30,avg log pred advi,300,30,-988.0717128619306
31,avg log pred advi,310,31,-987.6765632119843
32,avg log pred advi,320,32,-987.2815715902905
33,avg log pred advi,330,33,-986.8867379336502
34,avg log pred advi,340,34,-986.4920621788899
35,avg log pred advi,350,35,-986.0975442628619
36,avg log pred advi,360,36,-985.703184122443
37,avg log pred advi,370,37,-985.3089816945356
38,avg log pred advi,380,38,-984.9149369160675
39,avg log pred advi,390,39,-984.5210497239913
40,avg log pred advi,400,40,-984.1273200552852
41,avg log pred advi,410,41,-983.7337478469524
42,avg log pred advi,420,42,-983.3403330360212
43,avg log pred advi,430,43,-982.9470755595455
44,avg log pred advi,440,44,-982.5539753546041
45,avg log pred advi,450,45,-982.1610323583008
46,avg log pred advi,460,46,-981.7682465077646
47,avg log pred advi,470,47,-981.3756177401501
48,avg log pred advi,480,48,-980.9831459926364
49,avg log pred advi,490,49,-980.5908312024284
50,avg log pred advi,500,50,-980.1986733067553
51,avg log pred advi,510,51,-979.8066722428721
52,avg log pred advi,520,52,-979.4148279480585
53,avg log pred advi,530,53,-979.0231403596194
54,avg log pred advi,540,54,-978.6316094148849
55,avg log pred advi,550,55,-978.24023505121
56,avg log pred advi,560,56,-977.8490172059749
57,avg log pred advi,570,57,-977.4579558165844
58,avg log pred advi,580,58,-977.0670508204691
59,avg log pred advi,590,59,-976.676302155084
60,avg log pred advi,600,60,-976.2857097579093
61,avg log pred advi,610,61,-975.8952735664502
62,avg log pred advi,620,62,-975.504993518237
63,avg log pred advi,630,63,-975.1148695508249
64,avg log pred advi,640,64,-974.7249016017939
65,avg log pred advi,650,65,-974.3350896087494
66,avg log pred advi,660,66,-973.9454335093212
67,avg log pred advi,670,67,-973.5559332411644
68,avg log pred advi,680,68,-973.166588741959
69,avg log pred advi,690,69,-972.77739994941
70,avg log pred advi,700,70,-972.3883668012469
71,avg log pred advi,710,71,-971.9994892352246
72,avg log pred advi,720,72,-971.6107671891227
73,avg log pred advi,730,73,-971.2222006007456
74,avg log pred advi,740,74,-970.8337894079227
75,avg log pred advi,750,75,-970.4455335485081
76,avg log pred advi,760,76,-970.057432960381
77,avg log pred advi,770,77,-969.6694875814453
78,avg log pred advi,780,78,-969.2816973496297
79,avg log pred advi,790,79,-968.8940622028877
80,avg log pred advi,800,80,-968.5065820791976
81,avg log pred advi,810,81,-968.1192569165628
82,avg log pred advi,820,82,-967.7320866530112
83,avg log pred advi,830,83,-967.3450712265955
84,avg log pred advi,840,84,-966.9582105753931
85,avg log pred advi,850,85,-966.5715046375067
86,avg log pred advi,860,86,-966.1849533510629
87,avg log pred advi,870,87,-965.7985566542138
88,avg log pred advi,880,88,-965.4123144851359
89,avg log pred advi,890,89,-965.0262267820303
90,avg log pred advi,900,90,-964.6402934831231
91,avg log pred advi,910,91,-964.2545145266648
92,avg log pred advi,920,92,-963.8688898509309
93,avg log pred advi,930,93,-963.4834193942215
94,avg log pred advi,940,94,-963.0981030948612
95,avg log pred advi,950,95,-962.7129408911995
96,avg log pred advi,960,96,-962.3279327216104
97,avg log pred advi,970,97,-961.9430785244925
98,avg log pred advi,980,98,-961.5583782382694
