,label,step,time,value
0,log pred hmc,0,0,-1150.0
1,log pred hmc,10,1,-1149.7143265267252
2,log pred hmc,20,2,-1149.4287346627839
3,log pred hmc,30,3,-1149.1432243848622
4,log pred hmc,40,4,-1148.8577956696531
5,log pred hmc,50,5,-1148.5724484938567
6,log pred hmc,60,6,-1148.287182834179
7,log pred hmc,70,7,-1148.001998667333
8,log pred hmc,80,8,-1147.7168959700386
9,log pred hmc,90,9,-1147.4318747190218
10,log pred hmc,100,10,-1147.146934891016
11,log pred hmc,110,11,-1146.8620764627603
12,log pred hmc,120,12,-1146.5772994110016
13,log pred hmc,130,13,-1146.292603712492
14,log pred hmc,140,14,-1146.0079893439915
15,log pred hmc,150,15,-1145.7234562822662
16,log pred hmc,160,16,-1145.4390045040889
17,log pred hmc,170,17,-1145.1546339862389
18,log pred hmc,180,18,-1144.8703447055027
19,log pred hmc,190,19,-1144.5861366386725
20,log pred hmc,200,20,-1144.302009762548
21,log pred hmc,210,21,-1144.0179640539354
22,log pred hmc,220,22,-1143.7339994896465
23,log pred hmc,230,23,-1143.450116046501
24,log pred hmc,240,24,-1143.166313701325
25,log pred hmc,250,25,-1142.8825924309504
26,log pred hmc,260,26,-1142.5989522122165
27,log pred hmc,270,27,-1142.3153930219692
28,log pred hmc,280,28,-1142.0319148370606
29,log pred hmc,290,29,-1141.7485176343498
30,log pred hmc,300,30,-1141.465201390702
31,log pred hmc,310,31,-1141.1819660829897
32,log pred hmc,320,32,-1140.8988116880914
33,log pred hmc,330,33,-1140.6157381828928
34,log pred hmc,340,34,-1140.3327455442854
35,log pred hmc,350,35,-1140.049833749168
36,log pred hmc,360,36,-1139.7670027744457
37,log pred hmc,370,37,-1139.4842525970305
38,log pred hmc,380,38,-1139.2015831938404
39,log pred hmc,390,39,-1138.9189945418007
40,log pred hmc,400,40,-1138.6364866178426
41,log pred hmc,410,41,-1138.3540593989042
42,log pred hmc,420,42,-1138.0717128619306
43,log pred hmc,430,43,-1137.7894469838727
44,log pred hmc,440,44,-1137.5072617416886
45,log pred hmc,450,45,-1137.225157112343
46,log pred hmc,460,46,-1136.9431330728064
47,log pred hmc,470,47,-1136.6611896000568
48,log pred hmc,480,48,-1136.3793266710784
49,log pred hmc,490,49,-1136.097544262862
50,log pred hmc,500,50,-1135.8158423524046
51,log pred hmc,510,51,-1135.5342209167106
52,log pred hmc,520,52,-1135.2526799327902
53,log pred hmc,530,53,-1134.9712193776604
54,log pred hmc,540,54,-1134.6898392283451
55,log pred hmc,550,55,-1134.4085394618744
56,log pred hmc,560,56,-1134.127320055285
57,log pred hmc,570,57,-1133.8461809856203
58,log pred hmc,580,58,-1133.5651222299302
59,log pred hmc,590,59,-1133.2841437652708
60,log pred hmc,600,60,-1133.0032455687053
61,log pred hmc,610,61,-1132.7224276173033
62,log pred hmc,620,62,-1132.441689888141
63,log pred hmc,630,63,-1132.1610323583009
64,log pred hmc,640,64,-1131.8804550048717
65,log pred hmc,650,65,-1131.59995780495
66,log pred hmc,660,66,-1131.3195407356375
67,log pred hmc,670,67,-1131.0392037740432
68,log pred hmc,680,68,-1130.7589468972824
69,log pred hmc,690,69,-1130.478770082477
70,log pred hmc,700,70,-1130.1986733067552
71,log pred hmc,710,71,-1129.9186565472523
72,log pred hmc,720,72,-1129.6387197811098
73,log pred hmc,730,73,-1129.3588629854758
74,log pred hmc,740,74,-1129.0790861375042
75,log pred hmc,750,75,-1128.7993892143566
