,label,step,time,value
0,log pred nuts,0,0,-1050.0
1,log pred nuts,10,1,-1049.333555506181
2,log pred nuts,20,2,-1048.6675551606254
3,log pred nuts,30,3,-1048.001998667333
4,log pred nuts,40,4,-1047.3368857305009
5,log pred nuts,50,5,-1046.6722160545232
6,log pred nuts,60,6,-1046.0079893439915
7,log pred nuts,70,7,-1045.3442053036933
8,log pred nuts,80,8,-1044.6808636386143
9,log pred nuts,90,9,-1044.0179640539354
10,log pred nuts,100,10,-1043.3555062550345
11,log pred nuts,110,11,-1042.6934899474861
12,log pred nuts,120,12,-1042.0319148370606
13,log pred nuts,130,13,-1041.3707806297248
14,log pred nuts,140,14,-1040.7100870316413
15,log pred nuts,150,15,-1040.049833749168
16,log pred nuts,160,16,-1039.3900204888596
17,log pred nuts,170,17,-1038.7306469574655
18,log pred nuts,180,18,-1038.0717128619306
19,log pred nuts,190,19,-1037.4132179093954
20,log pred nuts,200,20,-1036.7551618071957
21,log pred nuts,210,21,-1036.097544262862
22,log pred nuts,220,22,-1035.4403649841197
23,log pred nuts,230,23,-1034.783623678889
24,log pred nuts,240,24,-1034.127320055285
25,log pred nuts,250,25,-1033.4714538216176
26,log pred nuts,260,26,-1032.81602468639
27,log pred nuts,270,27,-1032.1610323583009
28,log pred nuts,280,28,-1031.506476546242
29,log pred nuts,290,29,-1030.8523569593003
30,log pred nuts,300,30,-1030.1986733067552
31,log pred nuts,310,31,-1029.5454252980815
32,log pred nuts,320,32,-1028.892612642946
33,log pred nuts,330,33,-1028.24023505121
34,log pred nuts,340,34,-1027.5882922329279
35,log pred nuts,350,35,-1026.9367838983476
36,log pred nuts,360,36,-1026.2857097579094
37,log pred nuts,370,37,-1025.6350695222472
38,log pred nuts,380,38,-1024.9848629021874
39,log pred nuts,390,39,-1024.3350896087495
40,log pred nuts,400,40,-1023.685749353145
41,log pred nuts,410,41,-1023.0368418467787
42,log pred nuts,420,42,-1022.3883668012469
43,log pred nuts,430,43,-1021.7403239283386
44,log pred nuts,440,44,-1021.0927129400347
45,log pred nuts,450,45,-1020.4455335485081
46,log pred nuts,460,46,-1019.7987854661236
47,log pred nuts,470,47,-1019.1524684054375
48,log pred nuts,480,48,-1018.5065820791976
49,log pred nuts,490,49,-1017.8611262003435
50,log pred nuts,500,50,-1017.2161004820059
51,log pred nuts,510,51,-1016.5715046375067
52,log pred nuts,520,52,-1015.9273383803587
53,log pred nuts,530,53,-1015.283601424266
54,log pred nuts,540,54,-1014.6402934831231
55,log pred nuts,550,55,-1013.9974142710154
56,log pred nuts,560,56,-1013.3549635022188
57,log pred nuts,570,57,-1012.7129408911995
58,log pred nuts,580,58,-1012.0713461526144
59,log pred nuts,590,59,-1011.43017900131
60,log pred nuts,600,60,-1010.7894391523232
61,log pred nuts,610,61,-1010.1491263208808
62,log pred nuts,620,62,-1009.5092402223992
63,log pred nuts,630,63,-1008.8697805724845
64,log pred nuts,640,64,-1008.2307470869326
65,log pred nuts,650,65,-1007.5921394817286
66,log pred nuts,660,66,-1006.9539574730467
67,log pred nuts,670,67,-1006.3162007772505
68,log pred nuts,680,68,-1005.6788691108927
69,log pred nuts,690,69,-1005.0419621907147
70,log pred nuts,700,70,-1004.4054797336466
71,log pred nuts,710,71,-1003.7694214568075
72,log pred nuts,720,72,-1003.1337870775047
73,log pred nuts,730,73,-1002.4985763132343
74,log pred nuts,740,74,-1001.8637888816799
75,log pred nuts,750,75,-1001.229424500714
76,log pred nuts,760,76,-1000.5954828883969
77,log pred nuts,770,77,-999.9619637629768
78,log pred nuts,780,78,-999.3288668428896
79,log pred nuts,790,79,-998.6961918467588
80,log pred nuts,800,80,-998.0639384933955
81,log pred nuts,810,81,-997.4321065017983
82,log pred nuts,820,82,-996.8006955911529
83,log pred nuts,830,83,-996.1697054808322
84,log pred nuts,840,84,-995.5391358903963
85,log pred nuts,850,85,-994.9089865395918
86,log pred nuts,860,86,-994.2792571483525
87,log pred nuts,870,87,-993.6499474367986
88,log pred nuts,880,88,-993.0210571252368
89,log pred nuts,890,89,-992.3925859341604
90,log pred nuts,900,90,-991.7645335842487
91,log pred nuts,910,91,-991.1368997963675
92,log pred nuts,920,92,-990.5096842915684
93,log pred nuts,930,93,-989.8828867910889
94,log pred nuts,940,94,-989.2565070163523
95,log pred nuts,950,95,-988.6305446889677
96,log pred nuts,960,96,-988.0049995307295
97,log pred nuts,970,97,-987.3798712636177
98,log pred nuts,980,98,-986.7551596097973
99,log pred nuts,990,99,-986.1308642916189
100,log pred nuts,1000,100,-985.5069850316178
101,log pred nuts,1010,101,-984.8835215525143
102,log pred nuts,1020,102,-984.2604735772136
103,log pred nuts,1030,103,-983.6378408288053
104,log pred nuts,1040,104,-983.0156230305639
105,log pred nuts,1050,105,-982.3938199059482
106,log pred nuts,1060,106,-981.7724311786011
107,log pred nuts,1070,107,-981.1514565723498
108,log pred nuts,1080,108,-980.5308958112057
109,log pred nuts,1090,109,-979.910748619364
110,log pred nuts,1100,110,-979.2910147212036
111,log pred nuts,1110,111,-978.6716938412873
112,log pred nuts,1120,112,-978.0527857043611
113,log pred nuts,1130,113,-977.4342900353552
114,log pred nuts,1140,114,-976.8162065593823
115,log pred nuts,1150,115,-976.1985350017385
116,log pred nuts,1160,116,-975.5812750879036
117,log pred nuts,1170,117,-974.9644265435393
118,log pred nuts,1180,118,-974.347989094491
119,log pred nuts,1190,119,-973.7319624667864
120,log pred nuts,1200,120,-973.1163463866358
121,log pred nuts,1210,121,-972.5011405804322
122,log pred nuts,1220,122,-971.8863447747506
123,log pred nuts,1230,123,-971.2719586963487
124,log pred nuts,1240,124,-970.6579820721656
125,log pred nuts,1250,125,-970.0444146293233
126,log pred nuts,1260,126,-969.4312560951247
127,log pred nuts,1270,127,-968.8185061970551
128,log pred nuts,1280,128,-968.206164662781
129,log pred nuts,1290,129,-967.594231220151
130,log pred nuts,1300,130,-966.9827055971944
131,log pred nuts,1310,131,-966.3715875221219
132,log pred nuts,1320,132,-965.7608767233256
133,log pred nuts,1330,133,-965.1505729293785
134,log pred nuts,1340,134,-964.5406758690345
135,log pred nuts,1350,135,-963.9311852712282
136,log pred nuts,1360,136,-963.3221008650748
137,log pred nuts,1370,137,-962.71342237987
138,log pred nuts,1380,138,-962.1051495450904
139,log pred nuts,1390,139,-961.4972820903921
140,log pred nuts,1400,140,-960.8898197456122
141,log pred nuts,1410,141,-960.2827622407669
142,log pred nuts,1420,142,-959.6761093060533
143,log pred nuts,1430,143,-959.0698606718477
144,log pred nuts,1440,144,-958.4640160687062
145,log pred nuts,1450,145,-957.8585752273646
146,log pred nuts,1460,146,-957.2535378787379
147,log pred nuts,1470,147,-956.6489037539209
148,log pred nuts,1480,148,-956.0446725841872
149,log pred nuts,1490,149,-955.4408441009895
150,log pred nuts,1500,150,-954.8374180359596
151,log pred nuts,1510,151,-954.2343941209081
152,log pred nuts,1520,152,-953.6317720878246
153,log pred nuts,1530,153,-953.0295516688768
154,log pred nuts,1540,154,-952.4277325964113
155,log pred nuts,1550,155,-951.826314602953
156,log pred nuts,1560,156,-951.2252974212048
157,log pred nuts,1570,157,-950.6246807840481
158,log pred nuts,1580,158,-950.0244644245421
159,log pred nuts,1590,159,-949.424648075924
160,log pred nuts,1600,160,-948.8252314716088
161,log pred nuts,1610,161,-948.226214345189
162,log pred nuts,1620,162,-947.6275964304349
163,log pred nuts,1630,163,-947.0293774612938
164,log pred nuts,1640,164,-946.431557171891
165,log pred nuts,1650,165,-945.8341352965282
166,log pred nuts,1660,166,-945.2371115696849
167,log pred nuts,1670,167,-944.6404857260169
168,log pred nuts,1680,168,-944.0442575003572
169,log pred nuts,1690,169,-943.4484266277158
170,log pred nuts,1700,170,-942.8529928432785
171,log pred nuts,1710,171,-942.2579558824083
172,log pred nuts,1720,172,-941.6633154806443
173,log pred nuts,1730,173,-941.069071373702
174,log pred nuts,1740,174,-940.4752232974727
175,log pred nuts,1750,175,-939.8817709880238
176,log pred nuts,1760,176,-939.2887141815991
177,log pred nuts,1770,177,-938.6960526146173
178,log pred nuts,1780,178,-938.1037860236737
179,log pred nuts,1790,179,-937.5119141455385
180,log pred nuts,1800,180,-936.9204367171575
181,log pred nuts,1810,181,-936.3293534756519
182,log pred nuts,1820,182,-935.7386641583179
183,log pred nuts,1830,183,-935.1483685026271
184,log pred nuts,1840,184,-934.5584662462257
185,log pred nuts,1850,185,-933.968957126935
186,log pred nuts,1860,186,-933.379840882751
187,log pred nuts,1870,187,-932.7911172518438
188,log pred nuts,1880,188,-932.2027859725592
189,log pred nuts,1890,189,-931.614846783416
190,log pred nuts,1900,190,-931.0272994231082
191,log pred nuts,1910,191,-930.4401436305035
192,log pred nuts,1920,192,-929.8533791446438
193,log pred nuts,1930,193,-929.267005704745
194,log pred nuts,1940,194,-928.6810230501964
195,log pred nuts,1950,195,-928.0954309205613
196,log pred nuts,1960,196,-927.5102290555767
197,log pred nuts,1970,197,-926.9254171951528
